#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:ThiesDiscoSNPs" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:ThiesDiscoSNPs" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:ThiesDiscoSNPs" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:ThiesDiscoSNPs" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:ThiesDiscoSNPs">
#                    <trait id="dateTrait.t:ThiesDiscoSNPs" spec="beast.evolution.tree.TraitSet" traitname="date">
#                Th086.07=7.0,
#Th106.09=9.0,
#Th230.12=12.0,
#Th074.13=13.0,
#Th132.11=11.0,
#Th162.12=12.0,
#Th196.12=12.0,
#Th106.11=11.0,
#Th117.11=11.0,
#Th134.11=11.0                
#                                    <taxa id="TaxonSet.ThiesDiscoSNPs" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.ThiesDiscoSNPs"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ClockPrior.c:ThiesDiscoSNPs" name="distribution">
#            <parameter id="clockRate.c:ThiesDiscoSNPs" name="x">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="PopSizePrior.t:ThiesDiscoSNPs" name="distribution" x="@popSize.t:ThiesDiscoSNPs">
#            <OneOnX id="OneOnX.0" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ThiesDiscoSNPs" id="treeLikelihood.ThiesDiscoSNPs" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ThiesDiscoSNPs">
#            <siteModel id="SiteModel.s:ThiesDiscoSNPs" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:ThiesDiscoSNPs" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:ThiesDiscoSNPs" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ThiesDiscoSNPs" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:ThiesDiscoSNPs" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:ThiesDiscoSNPs" id="StrictClock.c:ThiesDiscoSNPs" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	mutationRate	popSize	CoalescentConstant.
21000	-11122.25939385867	-11048.417121052604	-73.84227280606643	-11048.417121052604	228.45119273345634	6.55792511835278E-4	1.0	988.4961228838935	-66.9460880856851
22000	-11131.234309485053	-11048.878011359038	-82.35629812601493	-11048.878011359038	665.228791811967	2.256993900674076E-4	1.0	1383.9237536303822	-75.12362008266243
23000	-11136.39017387277	-11051.535472777012	-84.85470109575836	-11051.535472777012	837.8011465058919	1.754106612274174E-4	1.0	2033.6616249187718	-77.23710789241942
24000	-11134.66863534072	-11053.148444278071	-81.5201910626499	-11053.148444278071	592.5896263385721	2.358373449825252E-4	1.0	1466.4778317663545	-74.22957229076918
25000	-11134.031607163342	-11048.206150399774	-85.82545676356787	-11048.206150399774	921.1649812371853	1.6875534394585428E-4	1.0	2573.6714688501074	-77.97236801803714
26000	-11128.626410567345	-11052.369277023077	-76.25713354426793	-11052.369277023077	338.67573443728594	4.260083550717059E-4	1.0	850.6827016147862	-69.51109433878837
27000	-11124.953836055876	-11047.329328380729	-77.62450767514753	-11047.329328380729	378.20416923260166	3.577257712846089E-4	1.0	724.8312694165635	-71.03856877921834
28000	-11135.867774711827	-11049.018260445495	-86.84951426633191	-11049.018260445495	1026.0318558338884	1.441272222372636E-4	1.0	2294.0012665287773	-79.1114614165378
29000	-11140.573743292094	-11048.604864381681	-91.9688789104124	-11048.604864381681	1762.197333395459	8.63331518994877E-5	1.0	3005.4624238483652	-83.96069219047403
30000	-11130.952594028335	-11051.79962857074	-79.1529654575946	-11051.79962857074	485.8521358321372	3.2021175411970265E-4	1.0	995.4787574678771	-72.24974167287365
31000	-11127.218383551535	-11050.499374728764	-76.71900882277049	-11050.499374728764	307.45804730519427	4.749083504066953E-4	1.0	376.6565596044144	-70.78767503300085
32000	-11132.8795860184	-11050.515356336327	-82.36422968207287	-11050.515356336327	627.3065332970078	2.2599753883229055E-4	1.0	1648.2471459249637	-74.95676201565993
33000	-11127.130818458958	-11048.141981266688	-78.98883719226971	-11048.141981266688	450.56941281956483	3.19394624259227E-4	1.0	1189.5899114732752	-71.9074732777639
34000	-11139.526422528417	-11047.027519190146	-92.49890333827202	-11047.027519190146	1941.7643789003653	7.810240643900296E-5	1.0	3922.6843097452393	-84.2243718669433
35000	-11144.362311284565	-11048.943714209929	-95.41859707463732	-11048.943714209929	2112.642034563127	6.476804566311882E-5	1.0	7101.909889452985	-86.55047804926701
36000	-11142.512942512927	-11048.04281811171	-94.47012440121807	-11048.04281811171	1764.7894948649869	7.536325904569756E-5	1.0	2836.2665424297516	-86.51988053264046
37000	-11134.605192492238	-11047.160156484188	-87.44503600805078	-11047.160156484188	1025.014546931297	1.428386143729603E-4	1.0	1931.71199687174	-79.8788740743325
38000	-11133.327704432324	-11047.680643580392	-85.64706085193244	-11047.680643580392	862.117065410405	1.660949329893576E-4	1.0	1535.005029595089	-78.31077191530733
