Th086.07	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th196.12	Th230.12	Th074.13	Th166.12	Th092.13	Th211.13	Th245.13	Th246.13	Th068.12	Th061.13	Th095.13
Th086.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.04	2.02	2.03	2.03	2.02	2	2.01	2
Th106.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.04	2.03	2.04	2.04	2.03	2.01	2.01	2.01
Th106.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.04	2.03	2.04	2.04	2.03	2.01	2.02	2.01
Th117.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.04	2.02	2.03	2.03	2.02	2.01	2.02	2.01
Th132.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.05	2.03	2.04	2.04	2.03	2.01	2.01	2.01
Th134.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.04	2.03	2.04	2.03	2.03	2.01	2.02	2.01
Th162.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.05	2.03	2.04	2.04	2.03	2.02	2.03	2.02
Th196.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.05	2.04	2.05	2.05	2.04	2.01	2.02	2.01
Th230.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.04	2.03	2.04	2.04	2.03	2.02	2.02	2.02
Th074.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.05	2.04	2.05	2.05	2.04	2.02	2.03	2.02
Th166.12	2.04	2.04	2.04	2.04	2.05	2.04	2.05	2.05	2.04	2.05	NA	NA	NA	NA	NA	1.92	1.92	1.92
Th092.13	2.02	2.03	2.03	2.02	2.03	2.03	2.03	2.04	2.03	2.04	NA	NA	NA	NA	NA	1.9	1.9	1.9
Th211.13	2.03	2.04	2.04	2.03	2.04	2.04	2.04	2.05	2.04	2.05	NA	NA	NA	NA	NA	1.93	1.92	1.93
Th245.13	2.03	2.04	2.04	2.03	2.04	2.03	2.04	2.05	2.04	2.05	NA	NA	NA	NA	NA	1.92	1.92	1.92
Th246.13	2.02	2.03	2.03	2.02	2.03	2.03	2.03	2.04	2.03	2.04	NA	NA	NA	NA	NA	1.91	1.91	1.91
Th068.12	2	2.01	2.01	2.01	2.01	2.01	2.02	2.01	2.02	2.02	1.92	1.9	1.93	1.92	1.91	NA	NA	NA
Th061.13	2.01	2.01	2.02	2.02	2.01	2.02	2.03	2.02	2.02	2.03	1.92	1.9	1.92	1.92	1.91	NA	NA	NA
Th095.13	2	2.01	2.01	2.01	2.01	2.01	2.02	2.01	2.02	2.02	1.92	1.9	1.93	1.92	1.91	NA	NA	NA
