sample1	sample2	N_informative_sites	discordance	log_p	N_fit_iteration	N_generation	N_state_transition	seq_shared_best_traj	fract_sites_IBD
Th132.11	Th134.11	4860	0.1070	-1.23138e+04	5	181.102	119	0.97008	0.95250
Th132.11	Th162.12	4715	0.0456	-1.17040e+04	5	447.494	76	0.99273	0.98562
Th132.11	Th196.12	4705	0.0423	-1.16634e+04	5	444.931	72	0.99491	0.98686
Th132.11	Th230.12	4712	0.0448	-1.16656e+04	5	473.973	86	0.99458	0.98506
Th132.11	Th074.13	4707	0.0465	-1.17379e+04	5	360.017	71	0.99197	0.98386
Th132.11	Th166.12	11805	0.9997	-1.68568e+04	5	37.003	3	0.00331	0.00444
Th132.11	Th092.13	11793	0.9998	-1.68281e+04	5	36.921	3	0.00331	0.00444
Th132.11	Th211.13	11793	0.9997	-1.68235e+04	5	35.752	3	0.00331	0.00436
Th132.11	Th245.13	11796	0.9997	-1.68341e+04	5	35.871	3	0.00331	0.00436
Th132.11	Th246.13	11764	0.9997	-1.68060e+04	5	36.001	3	0.00331	0.00437
Th132.11	Th068.12	13015	0.9493	-2.17670e+04	5	34.626	5	0.00610	0.00766
Th132.11	Th061.13	13073	0.9488	-2.18314e+04	5	16.908	3	0.00718	0.00815
Th132.11	Th095.13	13074	0.9491	-2.18549e+04	5	16.907	3	0.00718	0.00815
Th132.11		9535	0.9948	-1.61921e+04	5	196.098	7	0.00091	0.01805
Th132.11		9535	0.9948	-1.61921e+04	5	196.098	7	0.00091	0.01805
Th132.11		9535	0.9948	-1.61921e+04	5	196.098	7	0.00091	0.01805
Th132.11		9535	0.9948	-1.61921e+04	5	196.098	7	0.00091	0.01805
Th132.11		9535	0.9948	-1.61921e+04	5	196.098	7	0.00091	0.01805
Th134.11	Th162.12	4873	0.1069	-1.23187e+04	5	164.917	99	0.96869	0.95488
Th134.11	Th196.12	4858	0.1017	-1.22844e+04	5	157.445	95	0.97114	0.95660
Th134.11	Th230.12	4866	0.1038	-1.22536e+04	5	166.655	99	0.97275	0.95563
Th134.11	Th074.13	4851	0.0998	-1.22520e+04	5	162.033	94	0.97278	0.95883
Th134.11	Th166.12	11859	0.9986	-1.71273e+04	5	37.563	3	0.00331	0.00457
Th134.11	Th092.13	11842	0.9984	-1.71041e+04	5	37.489	3	0.00331	0.00457
Th134.11	Th211.13	11841	0.9983	-1.71002e+04	5	36.312	3	0.00331	0.00449
Th134.11	Th245.13	11847	0.9984	-1.71073e+04	5	36.384	3	0.00331	0.00449
Th134.11	Th246.13	11814	0.9984	-1.70807e+04	5	36.547	3	0.00331	0.00450
Th134.11	Th068.12	13041	0.9473	-2.20659e+04	5	35.526	5	0.00610	0.00772
Th134.11	Th061.13	13106	0.9473	-2.21220e+04	4	17.381	3	0.00718	0.00817
Th134.11	Th095.13	13104	0.9473	-2.21503e+04	4	17.407	3	0.00718	0.00817
Th134.11		9569	0.9925	-1.64533e+04	5	144.631	7	0.00240	0.01912
Th134.11		9569	0.9925	-1.64533e+04	5	144.631	7	0.00240	0.01912
Th134.11		9569	0.9925	-1.64533e+04	5	144.631	7	0.00240	0.01912
Th134.11		9569	0.9925	-1.64533e+04	5	144.631	7	0.00240	0.01912
Th134.11		9569	0.9925	-1.64533e+04	5	144.631	7	0.00240	0.01912
Th162.12	Th196.12	4712	0.0395	-1.16303e+04	5	415.151	62	0.99403	0.98970
Th162.12	Th230.12	4714	0.0399	-1.15975e+04	5	477.668	74	0.99504	0.98885
Th162.12	Th074.13	4721	0.0464	-1.17282e+04	5	336.727	65	0.99266	0.98529
Th162.12	Th166.12	11833	0.9998	-1.68726e+04	5	36.861	3	0.00331	0.00444
Th162.12	Th092.13	11816	0.9998	-1.68480e+04	5	36.831	3	0.00331	0.00444
Th162.12	Th211.13	11815	0.9994	-1.68469e+04	5	35.810	3	0.00331	0.00436
Th162.12	Th245.13	11824	0.9999	-1.68485e+04	5	35.723	3	0.00331	0.00436
Th162.12	Th246.13	11789	0.9997	-1.68246e+04	5	35.872	3	0.00331	0.00437
Th162.12	Th068.12	13028	0.9486	-2.18001e+04	5	34.721	5	0.00610	0.00766
Th162.12	Th061.13	13087	0.9484	-2.18617e+04	5	16.935	3	0.00718	0.00815
Th162.12	Th095.13	13081	0.9481	-2.18956e+04	5	17.028	3	0.00718	0.00815
Th162.12		9562	0.9951	-1.62026e+04	5	182.206	9	0.00169	0.01795
Th162.12		9562	0.9951	-1.62026e+04	5	182.206	9	0.00169	0.01795
Th162.12		9562	0.9951	-1.62026e+04	5	182.206	9	0.00169	0.01795
Th162.12		9562	0.9951	-1.62026e+04	5	182.206	9	0.00169	0.01795
Th162.12		9562	0.9951	-1.62026e+04	5	182.206	9	0.00169	0.01795
Th196.12	Th230.12	4705	0.0361	-1.15642e+04	5	474.082	70	0.99494	0.98951
Th196.12	Th074.13	4708	0.0416	-1.17087e+04	5	367.880	63	0.99320	0.98638
Th196.12	Th166.12	11823	0.9998	-1.68832e+04	5	36.837	3	0.00331	0.00444
Th196.12	Th092.13	11808	0.9998	-1.68572e+04	5	36.760	3	0.00331	0.00443
Th196.12	Th211.13	11806	0.9997	-1.68548e+04	5	35.730	3	0.00331	0.00436
Th196.12	Th245.13	11813	0.9998	-1.68605e+04	5	35.669	3	0.00331	0.00436
Th196.12	Th246.13	11779	0.9997	-1.68352e+04	5	35.865	3	0.00331	0.00437
Th196.12	Th068.12	13023	0.9486	-2.18073e+04	5	34.645	5	0.00610	0.00766
Th196.12	Th061.13	13081	0.9483	-2.18703e+04	5	16.902	3	0.00718	0.00815
Th196.12	Th095.13	13081	0.9484	-2.18965e+04	5	16.900	3	0.00718	0.00815
Th196.12		9573	0.9968	-1.61936e+04	5	173.325	5	0.00045	0.01655
Th196.12		9573	0.9968	-1.61936e+04	5	173.325	5	0.00045	0.01655
Th196.12		9573	0.9968	-1.61936e+04	5	173.325	5	0.00045	0.01655
Th196.12		9573	0.9968	-1.61936e+04	5	173.325	5	0.00045	0.01655
Th196.12		9573	0.9968	-1.61936e+04	5	173.325	5	0.00045	0.01655
Th230.12	Th074.13	4714	0.0435	-1.16892e+04	5	391.514	75	0.99368	0.98496
Th230.12	Th166.12	11827	0.9997	-1.68561e+04	5	36.822	3	0.00331	0.00443
Th230.12	Th092.13	11813	0.9997	-1.68294e+04	5	36.759	3	0.00331	0.00443
Th230.12	Th211.13	11813	0.9997	-1.68241e+04	5	35.621	3	0.00331	0.00436
Th230.12	Th245.13	11818	0.9997	-1.68326e+04	5	35.689	3	0.00331	0.00436
Th230.12	Th246.13	11786	0.9998	-1.68046e+04	5	35.851	3	0.00331	0.00436
Th230.12	Th068.12	13020	0.9485	-2.17895e+04	5	40.059	3	0.00415	0.00582
Th230.12	Th061.13	13081	0.9484	-2.18500e+04	5	20.479	3	0.00612	0.00691
Th230.12	Th095.13	13078	0.9484	-2.18791e+04	5	20.489	3	0.00612	0.00691
Th230.12		9558	0.9951	-1.61909e+04	5	195.313	11	0.00163	0.01795
Th230.12		9558	0.9951	-1.61909e+04	5	195.313	11	0.00163	0.01795
Th230.12		9558	0.9951	-1.61909e+04	5	195.313	11	0.00163	0.01795
Th230.12		9558	0.9951	-1.61909e+04	5	195.313	11	0.00163	0.01795
Th230.12		9558	0.9951	-1.61909e+04	5	195.313	11	0.00163	0.01795
Th074.13	Th166.12	11815	0.9997	-1.68895e+04	5	20.109	1	0.00232	0.00332
Th074.13	Th092.13	11801	0.9997	-1.68629e+04	5	20.074	1	0.00232	0.00331
Th074.13	Th211.13	11801	0.9997	-1.68583e+04	5	19.534	1	0.00232	0.00329
Th074.13	Th245.13	11805	0.9997	-1.68675e+04	5	19.578	1	0.00232	0.00329
Th074.13	Th246.13	11773	0.9997	-1.68394e+04	5	19.634	1	0.00232	0.00329
Th074.13	Th068.12	13020	0.9488	-2.18082e+04	4	34.511	5	0.00610	0.00751
Th074.13	Th061.13	13080	0.9485	-2.18691e+04	5	16.851	3	0.00718	0.00814
Th074.13	Th095.13	13079	0.9485	-2.18968e+04	5	16.850	3	0.00718	0.00814
Th074.13		9563	0.9959	-1.62089e+04	5	195.843	6	0.00055	0.01649
Th074.13		9563	0.9959	-1.62089e+04	5	195.843	6	0.00055	0.01649
Th074.13		9563	0.9959	-1.62089e+04	5	195.843	6	0.00055	0.01649
Th074.13		9563	0.9959	-1.62089e+04	5	195.843	6	0.00055	0.01649
Th074.13		9563	0.9959	-1.62089e+04	5	195.843	6	0.00055	0.01649
Th166.12	Th092.13	7835	0.0391	-1.52903e+04	5	469.440	110	0.99058	0.97979
Th166.12	Th211.13	7825	0.0381	-1.52384e+04	5	528.877	132	0.99041	0.97972
Th166.12	Th245.13	7863	0.0472	-1.55267e+04	5	524.735	172	0.98990	0.97592
Th166.12	Th246.13	7814	0.0381	-1.52242e+04	5	519.992	126	0.99201	0.97941
Th166.12	Th068.12	14591	0.9287	-2.41501e+04	5	88.039	13	0.00602	0.01145
Th166.12	Th061.13	14648	0.9286	-2.42268e+04	5	90.089	13	0.00602	0.01143
Th166.12	Th095.13	14642	0.9282	-2.42620e+04	5	89.518	13	0.00602	0.01137
Th166.12		11700	0.9959	-1.79460e+04	3	0.023	0	0.00000	0.00000
Th166.12		11700	0.9959	-1.79460e+04	3	0.023	0	0.00000	0.00000
Th166.12		11700	0.9959	-1.79460e+04	3	0.023	0	0.00000	0.00000
Th166.12		11700	0.9959	-1.79460e+04	3	0.023	0	0.00000	0.00000
Th166.12		11700	0.9959	-1.79460e+04	3	0.023	0	0.00000	0.00000
Th092.13	Th211.13	7821	0.0376	-1.52441e+04	5	532.446	140	0.99185	0.98010
Th092.13	Th245.13	7849	0.0440	-1.55265e+04	5	561.036	175	0.99038	0.97714
Th092.13	Th246.13	7806	0.0368	-1.51924e+04	5	528.865	130	0.99255	0.98015
Th092.13	Th068.12	14580	0.9289	-2.41250e+04	5	93.149	13	0.00496	0.01127
Th092.13	Th061.13	14637	0.9290	-2.41950e+04	5	99.443	11	0.00392	0.01035
Th092.13	Th095.13	14632	0.9285	-2.42302e+04	5	99.027	11	0.00392	0.01030
Th092.13		11683	0.9955	-1.79236e+04	5	168.130	2	0.00137	0.00099
Th092.13		11683	0.9955	-1.79236e+04	5	168.130	2	0.00137	0.00099
Th092.13		11683	0.9955	-1.79236e+04	5	168.130	2	0.00137	0.00099
Th092.13		11683	0.9955	-1.79236e+04	5	168.130	2	0.00137	0.00099
Th092.13		11683	0.9955	-1.79236e+04	5	168.130	2	0.00137	0.00099
Th211.13	Th245.13	7851	0.0457	-1.54832e+04	5	543.617	178	0.98664	0.97654
Th211.13	Th246.13	7801	0.0365	-1.51544e+04	5	559.823	146	0.99070	0.98021
Th211.13	Th068.12	14576	0.9288	-2.41328e+04	5	122.724	15	0.00459	0.01148
Th211.13	Th061.13	14640	0.9290	-2.42021e+04	5	127.695	15	0.00459	0.01146
Th211.13	Th095.13	14632	0.9284	-2.42394e+04	5	127.685	15	0.00459	0.01140
Th211.13		11684	0.9961	-1.79134e+04	3	0.036	0	0.00000	0.00000
Th211.13		11684	0.9961	-1.79134e+04	3	0.036	0	0.00000	0.00000
Th211.13		11684	0.9961	-1.79134e+04	3	0.036	0	0.00000	0.00000
Th211.13		11684	0.9961	-1.79134e+04	3	0.036	0	0.00000	0.00000
Th211.13		11684	0.9961	-1.79134e+04	3	0.036	0	0.00000	0.00000
Th245.13	Th246.13	7831	0.0437	-1.54150e+04	5	558.638	166	0.99147	0.97726
Th245.13	Th068.12	14593	0.9292	-2.41142e+04	5	87.416	13	0.00602	0.01141
Th245.13	Th061.13	14651	0.9293	-2.41881e+04	5	89.123	13	0.00602	0.01139
Th245.13	Th095.13	14644	0.9288	-2.42240e+04	5	88.816	13	0.00602	0.01133
Th245.13		11660	0.9938	-1.79607e+04	3	0.022	0	0.00000	0.00000
Th245.13		11660	0.9938	-1.79607e+04	3	0.022	0	0.00000	0.00000
Th245.13		11660	0.9938	-1.79607e+04	3	0.022	0	0.00000	0.00000
Th245.13		11660	0.9938	-1.79607e+04	3	0.022	0	0.00000	0.00000
Th245.13		11660	0.9938	-1.79607e+04	3	0.022	0	0.00000	0.00000
Th246.13	Th068.12	14559	0.9288	-2.40903e+04	5	88.030	13	0.00602	0.01143
Th246.13	Th061.13	14616	0.9288	-2.41663e+04	5	89.838	13	0.00602	0.01141
Th246.13	Th095.13	14605	0.9280	-2.42079e+04	5	92.435	13	0.00602	0.01149
Th246.13		11666	0.9970	-1.78813e+04	3	0.021	0	0.00000	0.00000
Th246.13		11666	0.9970	-1.78813e+04	3	0.021	0	0.00000	0.00000
Th246.13		11666	0.9970	-1.78813e+04	3	0.021	0	0.00000	0.00000
Th246.13		11666	0.9970	-1.78813e+04	3	0.021	0	0.00000	0.00000
Th246.13		11666	0.9970	-1.78813e+04	3	0.021	0	0.00000	0.00000
Th068.12	Th061.13	9815	0.0503	-2.13706e+04	5	736.833	230	0.98877	0.97122
Th068.12	Th095.13	9815	0.0487	-2.13141e+04	5	670.883	194	0.99082	0.97236
Th068.12		12917	0.9498	-2.28253e+04	5	212.035	6	0.00143	0.00708
Th068.12		12917	0.9498	-2.28253e+04	5	212.035	6	0.00143	0.00708
Th068.12		12917	0.9498	-2.28253e+04	5	212.035	6	0.00143	0.00708
Th068.12		12917	0.9498	-2.28253e+04	5	212.035	6	0.00143	0.00708
Th068.12		12917	0.9498	-2.28253e+04	5	212.035	6	0.00143	0.00708
Th061.13	Th095.13	9842	0.0474	-2.13886e+04	5	692.547	188	0.99017	0.97408
Th061.13		12968	0.9492	-2.29019e+04	5	183.577	4	0.00105	0.00428
Th061.13		12968	0.9492	-2.29019e+04	5	183.577	4	0.00105	0.00428
Th061.13		12968	0.9492	-2.29019e+04	5	183.577	4	0.00105	0.00428
Th061.13		12968	0.9492	-2.29019e+04	5	183.577	4	0.00105	0.00428
Th061.13		12968	0.9492	-2.29019e+04	5	183.577	4	0.00105	0.00428
Th095.13		12992	0.9505	-2.28986e+04	5	168.670	4	0.00113	0.00576
Th095.13		12992	0.9505	-2.28986e+04	5	168.670	4	0.00113	0.00576
Th095.13		12992	0.9505	-2.28986e+04	5	168.670	4	0.00113	0.00576
Th095.13		12992	0.9505	-2.28986e+04	5	168.670	4	0.00113	0.00576
Th095.13		12992	0.9505	-2.28986e+04	5	168.670	4	0.00113	0.00576
		5299	0.0000	-1.19208e+04	2	0.000	0	1.00000	1.00000
		5299	0.0000	-1.19208e+04	2	0.000	0	1.00000	1.00000
		5299	0.0000	-1.19208e+04	2	0.000	0	1.00000	1.00000
		5299	0.0000	-1.19208e+04	2	0.000	0	1.00000	1.00000
		5299	0.0000	-1.19208e+04	2	0.000	0	1.00000	1.00000
		5299	0.0000	-1.19208e+04	2	0.000	0	1.00000	1.00000
		5299	0.0000	-1.19208e+04	2	0.000	0	1.00000	1.00000
		5299	0.0000	-1.19208e+04	2	0.000	0	1.00000	1.00000
		5299	0.0000	-1.19208e+04	2	0.000	0	1.00000	1.00000
		5299	0.0000	-1.19208e+04	2	0.000	0	1.00000	1.00000
