SM-7LV7V	SM-7LV7W	SM-7LV7X	SM-7LV7Y	SM-7LV7Z	SM-7LV81	SM-7LV82	SM-7LV83	SM-7LV84	SM-7LV85	SM-7LV86	SM-7LV87	SM-7LV88	SM-7LV89	SM-7LV8A	SM-7LV8B	SM-7LV8C	SM-7LV8D
SM-7LV7V	0	1170	1021	1007	1192	1028	1018	1164	1193	1187	9640	9658	9678	4907	9706	9603	9658	9625
SM-7LV7W	1170	0	542	515	318	539	463	315	335	300	10670	10692	10704	5431	10739	10508	10556	10513
SM-7LV7X	1021	542	0	277	534	308	675	543	556	522	10663	10696	10705	5439	10751	10533	10573	10536
SM-7LV7Y	1007	515	277	0	521	284	660	508	541	515	10647	10674	10687	5424	10728	10513	10565	10547
SM-7LV7Z	1192	318	534	521	0	551	453	337	314	310	10629	10638	10660	5419	10705	10506	10540	10515
SM-7LV81	1028	539	308	284	551	0	693	540	568	531	10643	10662	10677	5419	10713	10510	10553	10528
SM-7LV82	1018	463	675	660	453	693	0	446	471	473	10400	10421	10436	5291	10473	10281	10352	10314
SM-7LV83	1164	315	543	508	337	540	446	0	319	329	10621	10647	10664	5421	10687	10492	10546	10525
SM-7LV84	1193	335	556	541	314	568	471	319	0	331	10625	10661	10665	5423	10705	10529	10559	10537
SM-7LV85	1187	300	522	515	310	531	473	329	331	0	10647	10674	10684	5427	10731	10512	10552	10521
SM-7LV86	9640	10670	10663	10647	10629	10643	10400	10621	10625	10647	0	282	292	171	300	10491	10511	10504
SM-7LV87	9658	10692	10696	10674	10638	10662	10421	10647	10661	10674	282	0	271	183	294	10488	10501	10505
SM-7LV88	9678	10704	10705	10687	10660	10677	10436	10664	10665	10684	292	271	0	167	294	10502	10514	10513
SM-7LV89	4907	5431	5439	5424	5419	5419	5291	5421	5423	5427	171	183	167	0	148	5237	5241	5233
SM-7LV8A	9706	10739	10751	10728	10705	10713	10473	10687	10705	10731	300	294	294	148	0	10544	10567	10547
SM-7LV8B	9603	10508	10533	10513	10506	10510	10281	10492	10529	10512	10491	10488	10502	5237	10544	0	297	304
SM-7LV8C	9658	10556	10573	10565	10540	10553	10352	10546	10559	10552	10511	10501	10514	5241	10567	297	0	313
SM-7LV8D	9625	10513	10536	10547	10515	10528	10314	10525	10537	10521	10504	10505	10513	5233	10547	304	313	0
