SM-7LV7V	SM-7LV7W	SM-7LV7X	SM-7LV7Y	SM-7LV7Z	SM-7LV81	SM-7LV82	SM-7LV83	SM-7LV84	SM-7LV85	SM-7LV86	SM-7LV87	SM-7LV88	SM-7LV89	SM-7LV8A	SM-7LV8B	SM-7LV8C	SM-7LV8D
SM-7LV7V	0	1474	1202	1190	1506	1217	1289	1448	1505	1489	18266	18282	18301	9539	18340	18135	18185	18203
SM-7LV7W		0	733	713	370	735	571	362	386	344	19603	19621	19642	10255	19691	19325	19376	19373
SM-7LV7X			0	327	746	354	920	744	770	722	19640	19664	19672	10290	19745	19366	19407	19417
SM-7LV7Y				0	727	330	910	719	746	723	19620	19638	19657	10268	19720	19359	19415	19442
SM-7LV7Z					0	762	552	389	360	367	19550	19557	19591	10251	19647	19322	19360	19371
SM-7LV81						0	947	743	764	720	19616	19620	19646	10258	19700	19319	19365	19386
SM-7LV82							0	530	573	578	19271	19280	19304	10083	19357	19028	19099	19109
SM-7LV83								0	369	380	19519	19536	19567	10243	19602	19265	19320	19343
SM-7LV84									0	383	19550	19573	19595	10254	19645	19334	19363	19386
SM-7LV85										0	19580	19597	19619	10249	19679	19337	19374	19395
SM-7LV86											0	322	336	193	346	19492	19497	19555
SM-7LV87												0	322	215	352	19485	19487	19548
SM-7LV88													0	192	350	19509	19509	19570
SM-7LV89														0	177	10065	10057	10099
SM-7LV8A															0	19550	19560	19605
SM-7LV8B																0	339	379
SM-7LV8C																	0	362
SM-7LV8D																		0
