Th061.13	Th068.12	Th074.13	Th086.07	Th092.13	Th095.13	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th166.12	Th196.12	Th211.13	Th230.12	Th245.13	Th246.13
Th061.13	0	444	8535	11404	11965	389	12147	9965	12177	10945	9477	11911	11590	12098	8132	12100	4530	7720
Th068.12	444	0	8514	11345	11926	394	12134	9938	12130	10935	9442	11881	11554	12074	8091	12072	4485	7682
Th074.13	8535	8514	0	618	8670	8540	317	489	483	325	467	362	8653	302	8338	323	4515	7918
Th086.07	11404	11345	618	0	11396	9512	922	512	651	816	467	856	11061	928	7768	938	4239	7361
Th092.13	11965	11926	8670	11396	0	10011	12185	10085	12240	10999	9612	11977	409	12134	264	12171	163	262
Th095.13	389	394	8540	9512	10011	0	10172	9955	10177	10162	9478	9945	10002	10113	8138	10141	4526	7727
Th106.09	12147	12134	317	922	12185	10172	0	629	756	422	578	480	11864	444	8324	452	4513	7895
Th106.11	9965	9938	489	512	10085	9955	629	0	339	643	347	652	10085	624	8335	608	4535	7915
Th117.11	12177	12130	483	651	12240	10177	756	339	0	671	319	792	11890	735	8336	764	4522	7915
Th132.11	10945	10935	325	816	10999	10162	422	643	671	0	599	445	10988	426	8337	405	4525	7906
Th134.11	9477	9442	467	467	9612	9478	578	347	319	599	0	612	9601	596	8337	599	4534	7926
Th162.12	11911	11881	362	856	11977	9945	480	652	792	445	612	0	11644	470	8167	498	4443	7759
Th166.12	11590	11554	8653	11061	409	10002	11864	10085	11890	10988	9601	11644	0	11810	233	11841	164	257
Th196.12	12098	12074	302	928	12134	10113	444	624	735	426	596	470	11810	0	8292	433	4514	7882
Th211.13	8132	8091	8338	7768	264	8138	8324	8335	8336	8337	8337	8167	233	8292	0	8326	165	268
Th230.12	12100	12072	323	938	12171	10141	452	608	764	405	599	498	11841	433	8326	0	4526	7907
Th245.13	4530	4485	4515	4239	163	4526	4513	4535	4522	4525	4534	4443	164	4514	165	4526	0	151
Th246.13	7720	7682	7918	7361	262	7727	7895	7915	7915	7906	7926	7759	257	7882	268	7907	151	0
