Th061.13	Th068.12	Th074.13	Th086.07	Th092.13	Th095.13	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th166.12	Th196.12	Th211.13	Th230.12	Th245.13	Th246.13
Th061.13	0	79	7742	10292	10394	73	10370	8927	10414	9500	8512	10376	10136	10344	7543	10348	4392	7056
Th068.12	79	0	7754	10321	10410	80	10391	8943	10440	9523	8525	10388	10159	10375	7543	10379	4385	7060
Th074.13	7742	7754	0	244	7826	7772	41	171	175	53	179	91	7828	62	7650	43	4361	7087
Th086.07	10292	10321	244	0	10389	9018	370	132	161	363	124	371	10171	372	7579	367	4329	7018
Th092.13	10394	10410	7826	10389	0	9037	10451	8991	10470	9605	8578	10481	48	10437	40	10456	23	34
Th095.13	73	80	7772	9018	9037	0	9070	8954	9129	9053	8533	9084	9020	9064	7554	9060	4397	7068
Th106.09	10370	10391	41	370	10451	9070	0	245	268	58	234	98	10230	68	7643	63	4357	7076
Th106.11	8927	8943	171	132	8991	8954	245	0	50	264	49	284	8989	252	7663	243	4374	7097
Th117.11	10414	10440	175	161	10470	9129	268	50	0	282	39	301	10247	278	7655	293	4359	7089
Th132.11	9500	9523	53	363	9605	9053	58	264	282	0	257	113	9606	86	7661	50	4367	7095
Th134.11	8512	8525	179	124	8578	8533	234	49	39	257	0	271	8571	243	7664	250	4372	7098
Th162.12	10376	10388	91	371	10481	9084	98	284	301	113	271	0	10257	87	7685	103	4384	7112
Th166.12	10136	10159	7828	10171	48	9020	10230	8989	10247	9606	8571	10257	0	10218	37	10236	12	27
Th196.12	10344	10375	62	372	10437	9064	68	252	278	86	243	87	10218	0	7666	76	4366	7102
Th211.13	7543	7543	7650	7579	40	7554	7643	7663	7655	7661	7664	7685	37	7666	0	7678	21	48
Th230.12	10348	10379	43	367	10456	9060	63	243	293	50	250	103	10236	76	7678	0	4376	7114
Th245.13	4392	4385	4361	4329	23	4397	4357	4374	4359	4367	4372	4384	12	4366	21	4376	0	16
Th246.13	7056	7060	7087	7018	34	7068	7076	7097	7089	7095	7098	7112	27	7102	48	7114	16	0
