gen	size	0.0	0.01	0.02	0.03	0.04	0.05	0.06	0.07	0.08	0.09	0.1	0.11	0.12	0.13	0.14	0.15	0.16	0.17	0.18	0.19	0.2
1	67	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	118	9	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	232	20	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	460	39	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	868	84	4	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	1779	198	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	3563	413	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	7226	817	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	14480	1587	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	464980	9961	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	99907434	9993	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	100026041	9993	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56	99994412	9993	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	100006152	9993	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84	99995539	9993	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98	100006944	9993	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	99985388	9993	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126	100011763	9993	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140	99991207	9993	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
154	99988303	9993	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
