FILTER	S_CONC	S_DISC	S_MISS	I_CONC	I_DISC	I_MISS
3D7LaneErr	28	80	142791	61	582	28038
DD2FDKIncons	3698	251	218140	5793	1411	52335
DD2LaneErr	4194	272	221832	6439	1521	56194
Hypervariable	0	0	21	0	15	1777
NoAllelesPassPhred23	134	20	32501	343	191	12530
PASS	4859	213	28281	5157	483	11240
PhredFilter10	165	51	103526	323	344	29153
RefCallOnly	24	39	99907	153	218	26364
TooManyCalls	0	2	621	4	31	1699
