FILTER	S_CONC	S_DISC	S_MISS	I_CONC	I_DISC	I_MISS
3D7LaneErr	21	57	103122	49	443	20522
DD2FDKIncons	2835	185	116618	4436	1067	35696
DD2LaneErr	3222	202	122773	4937	1165	38670
Hypervariable	0	0	20	0	11	1347
NoAllelesPassPhred23	96	13	19151	262	134	8970
PASS	3948	160	13314	4044	381	8026
PhredFilter10	113	35	53714	251	256	20282
RefCallOnly	16	26	71739	122	154	19307
TooManyCalls	0	1	432	3	27	1189
