FILTER	S_CONC	S_DISC	S_MISS	I_CONC	I_DISC	I_MISS
3D7LaneErr	14	2	1557	4	67	292
DD2ALLIncons	324	8	3347	160	118	503
DD2FDKIncons	279	8	2973	141	107	424
DD2LaneErr	311	6	3059	151	97	445
Hypervariable	0	0	1	1	12	20
NoAllelesPassPhred23	14	1	410	7	38	148
PASS	604	0	399	201	2	27
PhredFilter10	33	5	1520	21	68	323
RefCallOnly	7	1	1216	12	33	326
TooManyCalls	1	0	3	0	6	28
