tip	date	distance	residual
Th086.07	2007.0	50.645833	-9.810194468400859
Th106.11	2011.0	80.70452	-16.64198668029644
Th117.11	2011.0	75.536552	-21.809954680296443
Th134.11	2011.0	69.160714	-28.185792680296444
Th074.13	2013.0	112.679688	-3.1120582862460537
Th106.09	2009.0	111.769532	32.86826492564953
Th132.11	2011.0	111.31836	13.971853319703555
Th162.12	2012.0	117.748536	11.179409516728754
Th196.12	2012.0	119.901856	13.332729516728747
Th230.12	2012.0	114.776856	8.207729516728747
