FILTER	S_CONC	S_DISC	S_MISS	I_CONC	I_DISC	I_MISS
3D7LaneErr	0	0	1573	1	8	354
DD2ALLIncons	68	4	2608	53	17	579
DD2FDKIncons	62	4	2181	45	16	487
DD2LaneErr	65	4	3307	52	15	626
Hypervariable	0	0	1	0	1	32
NoAllelesPassPhred23	5	1	419	2	2	189
PASS	153	4	872	62	5	168
PhredFilter10	1	1	1556	4	4	404
RefCallOnly	0	0	1224	2	3	366
TooManyCalls	0	0	4	0	0	34
