#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentExponential.t:ThiesDiscoINDELs" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ExponentialGrowth.t:ThiesDiscoINDELs" spec="beast.evolution.tree.coalescent.ExponentialGrowth">
#                <parameter id="ePopSize.t:ThiesDiscoINDELs" name="popSize">0.3</parameter>
#                <parameter id="growthRate.t:ThiesDiscoINDELs" name="growthRate">3.0E-4</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:ThiesDiscoINDELs" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:ThiesDiscoINDELs">
#                    <trait id="dateTrait.t:ThiesDiscoINDELs" spec="beast.evolution.tree.TraitSet" traitname="date">
#                Th086.07=7.0,
#Th106.09=9.0,
#Th230.12=12.0,
#Th074.13=13.0,
#Th132.11=11.0,
#Th162.12=12.0,
#Th196.12=12.0,
#Th106.11=11.0,
#Th117.11=11.0,
#Th134.11=11.0                
#                                    <taxa id="TaxonSet.ThiesDiscoINDELs" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.ThiesDiscoINDELs"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ClockPrior.c:ThiesDiscoINDELs" name="distribution">
#            <parameter id="clockRate.c:ThiesDiscoINDELs" name="x">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ePopSizePrior.t:ThiesDiscoINDELs" name="distribution" x="@ePopSize.t:ThiesDiscoINDELs">
#            <OneOnX id="OneOnX.0" name="distr"/>
#        </prior>
#        <prior id="GrowthRatePrior.t:ThiesDiscoINDELs" name="distribution" x="@growthRate.t:ThiesDiscoINDELs">
#            <LaplaceDistribution id="LaplaceDistribution.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mu">0.001</parameter>
#                <parameter estimate="false" id="RealParameter.01" name="scale">30.701135</parameter>
#            </LaplaceDistribution>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ThiesDiscoINDELs" id="treeLikelihood.ThiesDiscoINDELs" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ThiesDiscoINDELs">
#            <siteModel id="SiteModel.s:ThiesDiscoINDELs" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:ThiesDiscoINDELs" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:ThiesDiscoINDELs" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ThiesDiscoINDELs" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:ThiesDiscoINDELs" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:ThiesDiscoINDELs" id="StrictClock.c:ThiesDiscoINDELs" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	mutationRate	clockRate	CoalescentExponential	ePopSize	growthRate.
19000	-9191.3906802465	-9114.783758210016	-76.60692203648478	-9114.783758210016	302.0828697236473	1.0	3.233535599875861E-4	-64.1483372331394	4191.400479608939	0.011677786562811932
20000	-9189.299094678057	-9113.866251131716	-75.43284354634059	-9113.866251131716	247.15686854410555	1.0	3.9993035716597204E-4	-63.22351096214683	3266.7078441433737	0.011677786562811932
21000	-9196.674809701564	-9118.919798247382	-77.75501145418214	-9118.919798247382	325.7133953138529	1.0	3.0938789695723515E-4	-65.13222637486165	4939.3609523772375	0.01165434442913793
22000	-9196.76224904278	-9120.87090229395	-75.89134674883083	-9120.87090229395	308.60309355696046	1.0	3.092052585942982E-4	-63.71547616043846	3159.2083372866155	0.01165434442913793
23000	-9195.582391571357	-9120.023893843863	-75.55849772749401	-9120.023893843863	300.58039446956366	1.0	3.1779667683241544E-4	-63.49318986026737	2828.53454487938	0.01165434442913793
24000	-9189.103890043014	-9116.314735501077	-72.78915454193786	-9116.314735501077	200.2917089321172	1.0	5.046768579355318E-4	-60.650693341869435	3042.5192158526565	0.018599556508962722
25000	-9191.883090446583	-9121.288523564604	-70.59456688197818	-9121.288523564604	180.48194698054934	1.0	5.289555749835401E-4	-59.19579979480036	1452.0723584137404	0.018599556508962722
26000	-9189.58613961719	-9121.27450555871	-68.31163405847995	-9121.27450555871	155.77535054350847	1.0	6.402930014564643E-4	-57.11740150419702	1183.477591719523	0.018599556508962722
27000	-9189.59268518231	-9123.517393647391	-66.07529153491899	-9123.517393647391	127.5345159022068	1.0	8.533876425954303E-4	-55.50743357279494	632.5997417955357	0.018599556508962722
28000	-9184.36410072106	-9117.541623301559	-66.8224774195021	-9117.541623301559	131.56954918695683	1.0	7.832437135094761E-4	-56.225037280248294	651.5929647841093	0.018599556508962722
29000	-9193.152660490718	-9121.49704191446	-71.65561857625835	-9121.49704191446	186.63065144688719	1.0	4.989947403926426E-4	-59.85809919103532	2163.5362738515078	0.018599556508962722
30000	-9193.845754722091	-9121.18219588387	-72.66355883822186	-9121.18219588387	208.20337338757932	1.0	5.031471016113354E-4	-60.8599136021961	2176.8304517735305	0.018599556508962722
31000	-9188.41761217937	-9118.255191420829	-70.16242075854086	-9118.255191420829	176.11775105908245	1.0	5.792055008042681E-4	-58.67975978635514	1579.1482727141913	0.018599556508962722
32000	-9193.728080075394	-9121.57591533822	-72.15216473717402	-9121.57591533822	203.5443642974001	1.0	4.889617028754251E-4	-60.528549203173256	1818.187627003013	0.018599556508962722
33000	-9186.039855173132	-9118.497072918153	-67.54278225497987	-9118.497072918153	144.19918200445508	1.0	6.82185387639515E-4	-56.774818334644806	772.740943350725	0.018599556508962722
34000	-9191.855834395607	-9115.924892404297	-75.93094199130968	-9115.924892404297	283.8671897790313	1.0	3.4159768423006916E-4	-65.41935108864924	598.2289585486357	0.006235863862697311
35000	-9185.900450739267	-9120.245427769443	-65.65502296982457	-9120.245427769443	108.52050371960236	1.0	8.971727100950323E-4	-56.315605388772994	185.26740852241386	0.006235863862697311
36000	-9187.697366223347	-9116.28256133383	-71.41480488951667	-9116.28256133383	219.63263174199093	1.0	4.694043453023505E-4	-60.9500528019574	570.8547159693453	0.006235863862697311
37000	-9192.540419738225	-9119.454736879368	-73.08568285885632	-9119.454736879368	258.73198424705987	1.0	3.855823274139075E-4	-62.15288662264215	911.5795718950621	0.006235863862697311
38000	-9197.381843525807	-9120.963592273216	-76.41825125259078	-9120.963592273216	307.0938438155759	1.0	3.4571479257838975E-4	-64.30300997696143	2973.55935865874	0.009581549716792148
39000	-9192.306827462551	-9119.252330211682	-73.0544972508679	-9119.252330211682	249.07171905763613	1.0	3.810837697247318E-4	-61.840343856329454	1207.6445281476886	0.009581549716792148
40000	-9190.081064609714	-9117.20140467773	-72.87965993198404	-9117.20140467773	232.12587555927627	1.0	4.013838551610008E-4	-62.06468164304011	810.1763700909946	0.009581549716792148
41000	-9191.255128066947	-9121.055576935369	-70.19955113157724	-9121.055576935369	169.25309913488573	1.0	5.60235464082322E-4	-58.9716889280711	1224.189223115185	0.012707975467837584
42000	-9184.75670961841	-9114.864902846923	-69.8918067714882	-9114.864902846923	141.8588065581738	1.0	6.97901520556016E-4	-58.72744267911187	1148.872073088574	0.012707975467837584
43000	-9185.457722168205	-9117.420526898855	-68.03719526935026	-9117.420526898855	145.81674961538985	1.0	6.872231012441502E-4	-57.26939458238337	772.7630963848972	0.012707975467837584
