#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentExponential.t:ThiesDiscoSNPs" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ExponentialGrowth.t:ThiesDiscoSNPs" spec="beast.evolution.tree.coalescent.ExponentialGrowth">
#                <parameter id="ePopSize.t:ThiesDiscoSNPs" name="popSize">0.3</parameter>
#                <parameter id="growthRate.t:ThiesDiscoSNPs" name="growthRate">3.0E-4</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:ThiesDiscoSNPs" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:ThiesDiscoSNPs">
#                    <trait id="dateTrait.t:ThiesDiscoSNPs" spec="beast.evolution.tree.TraitSet" traitname="date">
#                Th086.07=7.0,
#Th106.09=9.0,
#Th230.12=12.0,
#Th074.13=13.0,
#Th132.11=11.0,
#Th162.12=12.0,
#Th196.12=12.0,
#Th106.11=11.0,
#Th117.11=11.0,
#Th134.11=11.0                
#                                    <taxa id="TaxonSet.ThiesDiscoSNPs" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.ThiesDiscoSNPs"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ClockPrior.c:ThiesDiscoSNPs" name="distribution">
#            <parameter id="clockRate.c:ThiesDiscoSNPs" name="x">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ePopSizePrior.t:ThiesDiscoSNPs" name="distribution" x="@ePopSize.t:ThiesDiscoSNPs">
#            <OneOnX id="OneOnX.0" name="distr"/>
#        </prior>
#        <prior id="GrowthRatePrior.t:ThiesDiscoSNPs" name="distribution" x="@growthRate.t:ThiesDiscoSNPs">
#            <LaplaceDistribution id="LaplaceDistribution.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mu">0.001</parameter>
#                <parameter estimate="false" id="RealParameter.01" name="scale">30.701135</parameter>
#            </LaplaceDistribution>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ThiesDiscoSNPs" id="treeLikelihood.ThiesDiscoSNPs" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ThiesDiscoSNPs">
#            <siteModel id="SiteModel.s:ThiesDiscoSNPs" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:ThiesDiscoSNPs" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:ThiesDiscoSNPs" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ThiesDiscoSNPs" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:ThiesDiscoSNPs" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:ThiesDiscoSNPs" id="StrictClock.c:ThiesDiscoSNPs" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	mutationRate	CoalescentExponential	ePopSize	growthRate.
19000	-11143.974935401577	-11051.962416931072	-92.01251847050538	-11051.962416931072	1428.1122965513669	1.1060429088199643E-4	1.0	-78.7378400510827	9482.708572623744	0.0011948114942548216
20000	-11141.57365478605	-11047.905778825232	-93.6678759608192	-11047.905778825232	2262.4485798194023	6.676945896654336E-5	1.0	-80.1662349463026	11898.740866292912	0.0011948114942548216
21000	-11136.66869180788	-11046.858553146461	-89.81013866141731	-11046.858553146461	1034.1057163405092	1.3462411336924383E-4	1.0	-76.29166770969329	12100.3076964157	0.002166208799098346
22000	-11145.900800747397	-11053.865105003684	-92.0356957437119	-11053.865105003684	2093.0764248803966	7.005556771040579E-5	1.0	-77.59920813745858	30303.024810571744	0.002166208799098346
23000	-11141.792790733221	-11048.321307338718	-93.4714833945041	-11048.321307338718	2239.0891460139514	6.265649136596454E-5	1.0	-78.80072688236237	38302.54879531547	0.002166208799098346
24000	-11141.475076870705	-11048.177723995246	-93.29735287545947	-11048.177723995246	2350.567037478903	6.43591529254569E-5	1.0	-78.47843185384559	44419.60613665929	0.002166208799098346
25000	-11140.581443782597	-11048.869148335738	-91.7122954468587	-11048.869148335738	1837.0797808733028	7.644873086059098E-5	1.0	-77.59902535124222	21933.82631169509	0.002166208799098346
26000	-11137.994126374942	-11047.377394925737	-90.61673144920435	-11047.377394925737	1620.8991579293636	8.835416435417365E-5	1.0	-76.70463854791826	17936.770636211684	0.002166208799098346
27000	-11144.46020626266	-11048.197908382748	-96.26229787991258	-11048.197908382748	2137.8531387244416	6.33479806122437E-5	1.0	-82.0969200730522	23107.049332231418	0.002166208799098346
28000	-11139.364688465555	-11045.095659893452	-94.26902857210368	-11045.095659893452	1990.709380100886	7.231735575309986E-5	1.0	-79.20807056382337	56583.52914147421	0.002166208799098346
29000	-11141.012280234218	-11049.926234572813	-91.08604566140528	-11049.926234572813	1734.8018134503293	7.765842434323773E-5	1.0	-77.01304778574222	21068.052755456945	0.002166208799098346
30000	-11144.473143471454	-11050.177145295587	-94.29599817586609	-11050.177145295587	2294.1920725984105	6.311011558136204E-5	1.0	-79.52457406243629	42359.13259078308	0.002166208799098346
31000	-11146.129281093057	-11050.96904554525	-95.16023554780821	-11050.96904554525	1582.0298818955057	9.574208284251047E-5	1.0	-80.33631172956527	44642.38518700349	0.002166208799098346
32000	-11140.987928295839	-11047.730840121281	-93.25708817455826	-11047.730840121281	2135.01801085945	6.617881811738363E-5	1.0	-78.39454175708582	46400.31961596691	0.002166208799098346
33000	-11145.1391184167	-11048.354398558296	-96.78471985840469	-11048.354398558296	2906.7755103438967	5.081432044470743E-5	1.0	-81.06573509869764	109261.56535199056	0.002166208799098346
34000	-11138.064217720204	-11046.8552117976	-91.20900592260456	-11046.8552117976	1524.54226965582	8.96892815436933E-5	1.0	-77.09633736498762	21920.63624925275	0.002166208799098346
35000	-11140.4091659398	-11049.298398101322	-91.11076783847827	-11049.298398101322	1578.2970710064078	9.043113976359581E-5	1.0	-77.02036357210474	21437.98173730551	0.002166208799098346
36000	-11142.641623318663	-11053.513759513242	-89.12786380542008	-11053.513759513242	1464.845485270447	1.044318969340372E-4	1.0	-75.95231088094522	8587.544628817383	0.002166208799098346
37000	-11144.132719065183	-11048.534011587933	-95.59870747724887	-11048.534011587933	2341.205718660085	5.5804674505095437E-5	1.0	-80.50166116220109	58662.826395445954	0.002166208799098346
