Th086.07	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th196.12	Th230.12	Th074.13	Th166.12	Th092.13	Th211.13	Th245.13	Th246.13	Th068.12	Th061.13	Th095.13
Th086.07	0	709	567	607	726	642	664	718	731	674	9396	9357	9382	4832	9370	9223	9279	9357
Th106.09		0	536	524	387	551	490	375	383	334	9859	9851	9837	5110	9858	9648	9698	9767
Th106.11			0	402	552	422	613	520	572	515	9874	9832	9870	5115	9857	9631	9698	9746
Th117.11				0	581	386	660	559	580	533	9888	9829	9845	5098	9846	9678	9731	9774
Th132.11					0	577	480	400	427	364	9908	9905	9914	5153	9928	9709	9755	9779
Th134.11						0	652	546	541	531	9861	9866	9880	5121	9889	9645	9730	9758
Th162.12							0	455	463	467	9781	9753	9788	5079	9772	9571	9671	9708
Th196.12								0	389	349	9855	9842	9855	5133	9851	9625	9717	9741
Th230.12									0	369	9831	9808	9850	5097	9843	9610	9676	9724
Th074.13										0	9832	9790	9817	5112	9829	9644	9698	9755
Th166.12											0	450	441	175	446	9886	9942	10010
Th092.13												0	436	205	424	9874	9960	9977
Th211.13													0	196	419	9897	9946	10012
Th245.13														0	187	5172	5196	5272
Th246.13															0	9898	9955	9984
Th068.12																0	384	404
Th061.13																	0	435
Th095.13																		0
