# BEAST v1.8.3
# Generated Mon Apr 25 19:05:58 EDT 2016 [seed=1461625546558]
# -window -working -options
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
40000	-13995.548432790518	-4.738049523304048	-13990.810383267213	25.766827726890995	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	2.692352737077694E-5	2.692352737077694E-5	-13990.810383267213	0.0	-7.231101368439366
41000	-13996.298387379598	-4.3500640278509515	-13991.948323351748	20.001511416893685	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	2.1000260770264962E-5	2.1000260770264962E-5	-13991.948323351748	0.0	-6.854167896989641
42000	-13996.854685152084	-5.052780009674398	-13991.801905142409	25.650045936422927	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	2.102052919842801E-5	2.102052919842801E-5	-13991.801905142409	0.0	-7.689895611767853
43000	-13995.826137626922	-5.042622624435328	-13990.783515002488	32.56604171510099	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.5514024397894167E-5	1.5514024397894167E-5	-13990.783515002488	0.0	-7.928960810480489
44000	-13997.896660516837	-4.801340011121061	-13993.095320505716	18.71514278846603	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	2.577905273515638E-5	2.5779052735156382E-5	-13993.095320505716	0.0	-7.2003227714303515
45000	-13995.893516153106	-5.058863782643145	-13990.834652370462	30.11721931020233	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	2.0563211566624625E-5	2.0563211566624625E-5	-13990.834652370462	0.0	-7.768685845236469
46000	-14000.902023256993	-6.670905002689587	-13994.231118254304	41.53238780927538	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	7.28282810189605E-6	7.28282810189605E-6	-13994.231118254304	0.0	-10.093393645090877
47000	-13996.917788206614	-4.564457061841233	-13992.353331144774	25.178250630571114	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.4341073172013355E-5	1.4341073172013355E-5	-13992.353331144774	0.0	-7.37134220518155
48000	-13995.89186037048	-4.813548561126673	-13991.078311809353	30.157945044497968	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.4900026267369122E-5	1.490002626736912E-5	-13991.078311809353	0.0	-7.68171867950458
49000	-13995.91782874759	-4.4942207203634705	-13991.423608027226	24.945672570411237	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.698915438603973E-5	1.698915438603973E-5	-13991.423608027226	0.0	-7.204676516214948
50000	-13996.694313178115	-4.233786529940293	-13992.460526648176	8.230099383552623	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0434733612529236E-4	1.0434733612529238E-4	-13992.460526648176	0.0	-5.484589829075272
51000	-13996.756449304063	-4.248666229137211	-13992.507783074925	7.03597038926901	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.1431196651123896E-4	1.1431196651123896E-4	-13992.507783074925	0.0	-5.379498976992515
52000	-13995.521167665776	-4.3091540653119	-13991.212013600465	16.787780472478502	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	3.8719402229073047E-5	3.871940222907304E-5	-13991.212013600465	0.0	-6.413561904302795
53000	-13996.512743093244	-4.161744323680051	-13992.350998769565	6.632507385753174	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	9.171156972424428E-5	9.171156972424428E-5	-13992.350998769565	0.0	-5.382148703908202
54000	-14000.097646861906	-4.975254861381395	-13995.122392000525	22.89418549053841	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	5.2938965888815836E-5	5.2938965888815836E-5	-13995.122392000525	0.0	-7.077564703725055
55000	-13996.68849792392	-4.451010559784099	-13992.237487364137	15.419353914659698	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	4.9415564067927485E-5	4.94155640679275E-5	-13992.237487364137	0.0	-6.401316373624493
56000	-13994.991909293401	-3.9471073682329356	-13991.044801925169	11.360867401326322	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	4.633976955496238E-5	4.6339769554962375E-5	-13991.044801925169	0.0	-5.75911751087707
57000	-13995.693011488742	-4.0207201045356395	-13991.672291384206	7.429149869533659	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	7.24213995685206E-5	7.24213995685206E-5	-13991.672291384206	0.0	-5.404500458221202
58000	-13996.861034266623	-4.185003156903606	-13992.67603110972	8.374656880882295	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	7.128875661055977E-5	7.128875661055977E-5	-13992.67603110972	0.0	-5.6581639936390795
59000	-13995.327874429377	-4.125392533632316	-13991.202481895743	14.240509808933133	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	3.9787355117033256E-5	3.9787355117033256E-5	-13991.202481895743	0.0	-6.133608061291231
60000	-13996.661097606377	-4.750162548466944	-13991.91093505791	21.395997681306188	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	3.614778192297202E-5	3.614778192297202E-5	-13991.91093505791	0.0	-7.015978344966145
61000	-13996.744431864206	-4.735241962497623	-13992.00918990171	22.400272024735834	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	3.913526441684946E-5	3.913526441684946E-5	-13992.00918990171	0.0	-6.975738524397577
62000	-13997.763613083274	-4.308217582515903	-13993.455395500758	4.890373725067103	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.257278942884417E-4	1.257278942884417E-4	-13993.455395500758	0.0	-5.231382526062432
63000	-13996.92423216128	-4.248399375181605	-13992.675832786099	7.453530890834861	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0227560637353418E-4	1.0227560637353417E-4	-13992.675832786099	0.0	-5.471175569553134
64000	-13995.718328180255	-4.25528560451125	-13991.463042575744	16.600092887173396	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	3.163255031019968E-5	3.163255031019968E-5	-13991.463042575744	0.0	-6.4603163325911765
65000	-13996.531287738268	-4.815171013348419	-13991.71611672492	25.352912161348012	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	3.5215777816873E-5	3.5215777816873E-5	-13991.71611672492	0.0	-7.164272262723849
66000	-13996.318963142152	-4.491657283674756	-13991.827305858476	19.900804276916816	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	2.413087936875762E-5	2.413087936875762E-5	-13991.827305858476	0.0	-6.928835118925829
67000	-13995.349304003437	-4.513733047860146	-13990.835570955576	24.112377521315082	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	2.166472063660054E-5	2.1664720636600545E-5	-13990.835570955576	0.0	-7.083695992866317
68000	-13998.154150032935	-5.329914630086554	-13992.824235402848	30.149755671250983	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	3.290879483461043E-5	3.290879483461044E-5	-13992.824235402848	0.0	-7.805774420381815
69000	-13998.1107580794	-5.043259625874024	-13993.067498453525	21.278282019016967	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	3.745519686503405E-5	3.745519686503405E-5	-13993.067498453525	0.0	-7.30539099441753
70000	-13995.692153524504	-4.567376633632636	-13991.12477689087	21.473962445080833	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	3.091507708558212E-5	3.091507708558212E-5	-13991.12477689087	0.0	-6.9067371360297445
71000	-13996.962272980287	-5.878394086871075	-13991.083878893416	38.870886655324746	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.4839812082444576E-5	1.4839812082444572E-5	-13991.083878893416	0.0	-8.885174313420201
72000	-13997.731321246009	-5.9254867153753885	-13991.805834530633	44.68369871777313	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	8.410674060770863E-6	8.410674060770861E-6	-13991.805834530633	0.0	-9.279528223064368
73000	-13998.293668096037	-6.2798802531078834	-13992.013787842929	43.555363789292876	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	2.08800231061733E-5	2.0880023106173303E-5	-13992.013787842929	0.0	-9.165522543267492
74000	-13998.50688613897	-4.327433595690474	-13994.17945254328	21.094622804408225	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.3245980260980504E-5	1.3245980260980506E-5	-13994.17945254328	0.0	-7.095611102959529
75000	-13996.060819072725	-4.725858481142285	-13991.334960591583	24.968290168019095	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.9988746007565844E-5	1.9988746007565844E-5	-13991.334960591583	0.0	-7.362968911905367
76000	-13997.101900481997	-4.709858187017291	-13992.39204229498	18.637124229451807	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	3.9244700784097966E-5	3.9244700784097966E-5	-13992.39204229498	0.0	-6.876629785531743
77000	-14000.26509524314	-4.366465928718355	-13995.89862931442	13.223408552925441	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	2.254321307028429E-5	2.254321307028429E-5	-13995.89862931442	0.0	-6.6795502075557645
78000	-13996.698382363767	-5.004234354927691	-13991.694148008839	25.93716989451075	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	3.006108412105741E-5	3.0061084121057405E-5	-13991.694148008839	0.0	-7.455074627218111
79000	-13996.244822412415	-3.7947712740757877	-13992.45005113834	8.384203986822067	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	4.4370324762807904E-5	4.43703247628079E-5	-13992.45005113834	0.0	-5.480382629001706
80000	-13997.215936295106	-4.24872447183128	-13992.967211823276	9.230913815969389	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	6.595147136933096E-5	6.595147136933096E-5	-13992.967211823276	0.0	-5.815737674367017
81000	-13994.909375805515	-4.059122540765462	-13990.850253264749	12.886237907605516	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	4.931323617341065E-5	4.931323617341065E-5	-13990.850253264749	0.0	-5.901609759660582
82000	-13998.038641847026	-6.642898359942791	-13991.395743487083	48.723018764124035	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.67697171440463E-5	1.67697171440463E-5	-13991.395743487083	0.0	-9.69407975605317
83000	-13996.332932261766	-5.205428875136019	-13991.127503386631	32.25373690964453	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.56222332788594E-5	1.5622233278859402E-5	-13991.127503386631	0.0	-8.090877838327472
84000	-13996.21093154023	-4.694258564830162	-13991.5166729754	21.986262844461972	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	3.398491010017234E-5	3.398491010017234E-5	-13991.5166729754	0.0	-7.000034431112692
85000	-13995.228838573168	-4.651501453312131	-13990.577337119856	25.804210745206515	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	2.4603596790457853E-5	2.4603596790457853E-5	-13990.577337119856	0.0	-7.188199008162161
86000	-13997.575962983701	-5.089819392395575	-13992.486143591306	26.887606039195536	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	3.49068612505483E-5	3.4906861250548296E-5	-13992.486143591306	0.0	-7.479995763332371
87000	-13996.742114053864	-4.8795957521918805	-13991.862518301672	22.95176240279642	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	2.45725937724456E-5	2.45725937724456E-5	-13991.862518301672	0.0	-7.383977880532545
88000	-13995.701398408537	-4.6832427665023815	-13991.018155642034	24.597243264246803	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	3.1565787084946223E-5	3.1565787084946223E-5	-13991.018155642034	0.0	-7.071314081467373
89000	-13996.295547306587	-4.154111580300389	-13992.141435726286	7.592437440973798	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	8.486691615504821E-5	8.486691615504821E-5	-13992.141435726286	0.0	-5.478222112673537
90000	-13995.495761009573	-3.916013835765969	-13991.579747173808	7.514022474380227	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	6.26104494643535E-5	6.26104494643535E-5	-13991.579747173808	0.0	-5.371480309392626
91000	-13995.359949413125	-4.034470103469228	-13991.325479309655	6.531267009083045	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	8.56626051067262E-5	8.56626051067262E-5	-13991.325479309655	0.0	-5.260972977737931
92000	-13997.292779349693	-4.30949419767067	-13992.983285152022	5.194439974185363	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.3279661029963542E-4	1.3279661029963542E-4	-13992.983285152022	0.0	-5.2250562834114085
93000	-13995.850311157346	-4.072082463492571	-13991.778228693855	7.204931837673552	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	7.976694943282753E-5	7.976694943282755E-5	-13991.778228693855	0.0	-5.394566026199828
94000	-13995.633291262448	-4.161549353518792	-13991.471741908928	13.95146895048747	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	4.004681794209612E-5	4.004681794209612E-5	-13991.471741908928	0.0	-6.161415692847671
95000	-13996.726008210622	-4.31537793164794	-13992.410630278975	12.045384264158958	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	6.136017966077368E-5	6.13601796607737E-5	-13992.410630278975	0.0	-6.036840818443098
96000	-13998.302234104149	-4.3444559234865885	-13993.957778180662	9.858006963339356	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0622143286800081E-4	1.0622143286800081E-4	-13993.957778180662	0.0	-5.678717199341892
97000	-13997.065496083938	-4.253218758608151	-13992.81227732533	9.149004539371571	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	7.243859438080304E-5	7.243859438080303E-5	-13992.81227732533	0.0	-5.7634729401940765
98000	-13997.385982046577	-4.32738595233348	-13993.058596094243	6.1365323079500165	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.4308374976666562E-4	1.4308374976666562E-4	-13993.058596094243	0.0	-5.2766683465881234
99000	-13997.024649238752	-4.369959615465005	-13992.654689623287	3.8254807120895586	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.608288195188493E-4	1.608288195188493E-4	-13992.654689623287	0.0	-5.025624351250876
100000	-13997.803305700834	-4.391742298779387	-13993.411563402055	5.106835324897885	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.6187926526855612E-4	1.6187926526855612E-4	-13993.411563402055	0.0	-5.194888876388382
101000	-13999.487155643272	-8.196959589622699	-13991.29019605365	73.37862838132038	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	5.473474067129311E-6	5.473474067129311E-6	-13991.29019605365	0.0	-12.009158075696739
102000	-13995.880846900338	-4.62332876364027	-13991.257518136697	25.116058735029004	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.875979706289027E-5	1.875979706289027E-5	-13991.257518136697	0.0	-7.2908750446697
103000	-13995.763830598577	-4.077261722565534	-13991.686568876012	13.135580803205533	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	3.7583226245086545E-5	3.7583226245086545E-5	-13991.686568876012	0.0	-6.079738161377922
104000	-13995.430606529695	-4.478424479448628	-13990.952182050247	22.181446394719483	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	2.473857626884064E-5	2.4738576268840643E-5	-13990.952182050247	0.0	-6.943504771957607
105000	-13996.84263995969	-4.750928529874727	-13992.091711429815	21.931680445155536	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	3.912230493299589E-5	3.912230493299589E-5	-13992.091711429815	0.0	-6.984302942374431
106000	-13995.593979528283	-4.569372871282506	-13991.024606657	23.601007757698664	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	2.2465606052903926E-5	2.246560605290393E-5	-13991.024606657	0.0	-7.114825280167444
107000	-13996.887720148678	-4.013714723306213	-13992.874005425372	8.191328975524211	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	5.369414102185477E-5	5.3694141021854775E-5	-13992.874005425372	0.0	-5.614969489559125
108000	-13995.894019453264	-3.860411459929031	-13992.033607993335	7.672728610840364	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	5.420315444572586E-5	5.420315444572585E-5	-13992.033607993335	0.0	-5.400628277710925
109000	-13995.528242085955	-4.298189721398831	-13991.230052364555	19.05956539324668	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	2.6503675697862307E-5	2.6503675697862307E-5	-13991.230052364555	0.0	-6.655715806747376
110000	-13995.686709361706	-4.355358433446903	-13991.331350928258	23.00731492862207	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.8706203612903383E-5	1.8706203612903383E-5	-13991.331350928258	0.0	-6.97577008718732
111000	-13995.997826555293	-5.226142365477588	-13990.771684189815	32.893793471650326	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.8142020026622898E-5	1.8142020026622898E-5	-13990.771684189815	0.0	-8.042055045633617
112000	-13995.791865005804	-4.747858114095564	-13991.044006891709	27.646172240217492	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.7489968148093722E-5	1.7489968148093725E-5	-13991.044006891709	0.0	-7.495479795410669
