tsk550	1	63	100000000	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	2	131	100000000	13	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	3	266	100000000	27	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	4	512	100000000	60	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	5	1057	100000000	134	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	6	2060	100000000	252	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	7	4115	100000000	532	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	8	8189	100000000	932	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	9	16456	100000000	1829	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	10	32482	100000000	3318	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	11	64448	100000000	5490	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	12	128739	100000000	7923	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	13	2519	100000000	633	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	14	5121	100000000	908	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	15	10378	100000000	1421	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	16	20810	100000000	2439	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	17	41540	100000000	4161	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	18	83419	100000000	6564	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	19	166806	100000000	8742	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	20	333143	100000000	9818	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	21	665190	100000000	9990	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	22	1323792	100000000	9993	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	23	2625096	100000000	9993	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	24	5155627	100000000	9993	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	25	82215	100000000	9356	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	26	164351	100000000	9760	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	27	326867	100000000	9955	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	28	651445	100000000	9989	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	29	13410	100000000	5042	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	30	26628	100000000	5686	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	31	53409	100000000	6848	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	32	106539	100000000	8378	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	33	212769	100000000	9521	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	34	423868	100000000	9960	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	35	834891	100000000	9993	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	36	1612309	100000000	9993	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	37	3098366	100000000	9993	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	38	61323	100000000	8541	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	39	122477	100000000	9281	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	40	2389	100000000	1892	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	41	66	100000000	0	22	16	15	14	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	42	144	100000000	4	22	20	9	7	9	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0
tsk550	43	280	100000000	30	26	7	7	8	8	7	2	1	0	0	0	0	0	0	0	0	0	0	0	0
tsk550	44	525	100000000	58	28	6	6	6	5	14	0	0	1	0	0	0	0	0	0	0	0	0	0	0
tsk550	45	1013	100000000	127	29	6	6	8	0	15	2	0	1	0	0	0	0	0	0	0	0	0	0	0
tsk550	46	1898	100000000	234	27	8	4	8	8	2	7	0	1	0	0	0	0	0	0	0	0	0	0	0
tsk550	47	3644	100000000	351	28	10	2	8	7	3	7	0	1	0	0	0	0	0	0	0	0	0	0	0
tsk550	48	7137	100000000	561	28	10	2	6	9	3	7	0	1	0	0	0	0	0	0	0	0	0	0	0
tsk550	49	140	100000000	19	23	43	8	1	1	5	0	2	1	0	2	0	0	0	0	0	0	0	0	0
