green.100    Pf3D7_04_v3	700001	715000    2    4.728356108187e-07
green.101    Pf3D7_04_v3	720001	780000    2    1.38308774974236e-07
green.102    Pf3D7_04_v3	790001	795000    0    1.73542813370105e-06
green.103    Pf3D7_04_v3	805001	825000    14    4.19777940600084e-07
green.104    Pf3D7_04_v3	830001	845000    3    5.80779852237094e-07
green.105    Pf3D7_04_v3	855001	875000    0    4.77187687761472e-07
green.106    Pf3D7_04_v3	880001	935000    5    1.80055569575324e-07
green.107    Pf3D7_04_v3	985001	995000    1    7.13337227094289e-07
green.108    Pf3D7_04_v3	1000001	1035000    2    2.40720911845699e-07
green.109    Pf3D7_04_v3	1060001	1075000    7    1.89693662855739e-06
green.10    Pf3D7_01_v3	285001	295000    1    7.70826842823437e-07
green.110    Pf3D7_04_v3	1080001	1095000    0    5.15756132055252e-07
green.111    Pf3D7_04_v3	1100001	1110000    0    7.68133791899074e-07
green.112    Pf3D7_04_v3	1115001	1120000    0    1.66042562568226e-06
green.113    Pf3D7_04_v3	1125001	1145000    0    4.08624723690898e-07
green.114    Pf3D7_05_v3	45001	75000    9    7.66329637262454e-07
green.115    Pf3D7_05_v3	80001	125000    12    1.65442059719306e-07
green.116    Pf3D7_05_v3	130001	135000    1    1.3253529950766e-06
green.117    Pf3D7_05_v3	140001	155000    1    6.30816705158925e-07
green.118    Pf3D7_05_v3	160001	170000    0    9.26432231464868e-07
green.119    Pf3D7_05_v3	190001	210000    0    3.91523972405138e-07
green.11    Pf3D7_01_v3	315001	345000    0    2.91091528480369e-07
green.120    Pf3D7_05_v3	220001	245000    0    2.96012010794233e-07
green.121    Pf3D7_05_v3	250001	265000    0    6.2327166642088e-07
green.122    Pf3D7_05_v3	270001	295000    4    1.58791579279693e-06
green.123    Pf3D7_05_v3	305001	320000    5    4.92941120593361e-07
green.124    Pf3D7_05_v3	325001	340000    1    5.36138179271179e-07
green.125    Pf3D7_05_v3	350001	370000    5    2.30313174648183e-06
green.126    Pf3D7_05_v3	375001	395000    15    3.71377056875781e-06
green.127    Pf3D7_05_v3	400001	405000    0    1.55906302418367e-06
green.128    Pf3D7_05_v3	410001	430000    1    3.52776014877631e-07
green.129    Pf3D7_05_v3	435001	445000    0    8.4320290480911e-07
green.12    Pf3D7_01_v3	355001	400000    7    1.68323441275899e-07
green.130    Pf3D7_05_v3	450001	455000    0    1.5447283902629e-06
green.131    Pf3D7_05_v3	460001	495000    5    2.59184414036157e-07
green.132    Pf3D7_05_v3	500001	550000    2    1.4884351681614e-07
green.133    Pf3D7_05_v3	555001	575000    4    4.37637397534821e-07
green.134    Pf3D7_05_v3	585001	595000    5    8.66592452657203e-07
green.135    Pf3D7_05_v3	600001	615000    1    6.29306643754603e-07
green.136    Pf3D7_05_v3	630001	645000    0    5.73055754208429e-07
green.137    Pf3D7_05_v3	650001	670000    2    3.69038557084997e-07
green.138    Pf3D7_05_v3	675001	680000    1    1.43498353044811e-06
green.139    Pf3D7_05_v3	690001	695000    0    1.664492802109e-06
green.13    Pf3D7_01_v3	415001	440000    16    1.09337739232435e-06
green.140    Pf3D7_05_v3	700001	705000    0    1.63239996348241e-06
green.141    Pf3D7_05_v3	710001	730000    10    2.64331196262707e-06
green.142    Pf3D7_05_v3	735001	745000    4    5.31126013058978e-06
green.143    Pf3D7_05_v3	750001	790000    1    1.93243464716606e-07
green.144    Pf3D7_05_v3	800001	805000    0    1.53052672881519e-06
green.145    Pf3D7_05_v3	810001	845000    2    2.27915731202397e-07
green.146    Pf3D7_05_v3	850001	875000    16    9.33322422483075e-07
green.147    Pf3D7_05_v3	880001	895000    0    4.84743337400018e-07
green.148    Pf3D7_05_v3	900001	1010000    5    4.73607551920223e-07
green.149    Pf3D7_05_v3	1020001	1025000    0    1.28217416978704e-06
green.14    Pf3D7_01_v3	450001	475000    0    3.13580170583259e-07
green.150    Pf3D7_05_v3	1030001	1100000    9    1.82500127180587e-07
green.151    Pf3D7_05_v3	1120001	1125000    0    1.50225291609721e-06
green.152    Pf3D7_05_v3	1130001	1145000    10    4.89930909961446e-06
green.153    Pf3D7_05_v3	1150001	1160000    0    6.54481853071222e-07
green.154    Pf3D7_05_v3	1165001	1195000    5    2.39121935707403e-07
green.155    Pf3D7_05_v3	1200001	1205000    3    1.63123142859247e-06
green.156    Pf3D7_05_v3	1210001	1290000    4    1.01602406029298e-07
green.157    Pf3D7_05_v3	1300001	1320000    0    4.65642452344451e-07
green.158    Pf3D7_06_v3	75001	95000    0    4.82123320446688e-07
green.159    Pf3D7_06_v3	100001	105000    0    2.14112804264471e-06
green.15    Pf3D7_01_v3	480001	495000    20    3.47575724392166e-06
green.160    Pf3D7_06_v3	110001	120000    0    7.87921255528217e-07
green.161    Pf3D7_06_v3	130001	145000    2    6.06808579199213e-07
green.162    Pf3D7_06_v3	150001	160000    0    6.29736840607953e-07
green.163    Pf3D7_06_v3	165001	170000    0    1.94730754640249e-06
green.164    Pf3D7_06_v3	175001	190000    1    4.76657754899423e-07
green.165    Pf3D7_06_v3	195001	245000    2    1.70726943233406e-07
green.166    Pf3D7_06_v3	255001	295000    1    2.49226790014708e-07
green.167    Pf3D7_06_v3	300001	345000    0    1.70278567295194e-07
green.168    Pf3D7_06_v3	350001	355000    0    1.92644020840049e-06
green.169    Pf3D7_06_v3	360001	395000    2    2.18767904121894e-07
green.16    Pf3D7_01_v3	500001	545000    13    1.01802420091801e-06
green.170    Pf3D7_06_v3	400001	420000    4    3.81573777507314e-07
green.171    Pf3D7_06_v3	425001	530000    5    6.84540476619021e-08
green.172    Pf3D7_06_v3	535001	545000    0    7.06320638405842e-07
green.173    Pf3D7_06_v3	550001	570000    2    3.85154214892893e-07
green.174    Pf3D7_06_v3	575001	595000    0    4.359943764103e-07
green.175    Pf3D7_06_v3	600001	620000    1    3.90190100791414e-07
green.176    Pf3D7_06_v3	625001	640000    3    6.06894147294079e-07
green.177    Pf3D7_06_v3	655001	720000    9    4.00479179671922e-07
green.178    Pf3D7_06_v3	745001	785000    1    2.24904972083637e-07
green.179    Pf3D7_06_v3	790001	795000    0    1.75304454362429e-06
green.17    Pf3D7_01_v3	550001	555000    0    1.71185036384245e-06
green.180    Pf3D7_06_v3	800001	850000    1    1.69336951986986e-07
green.181    Pf3D7_06_v3	855001	875000    3    4.90421767895129e-07
green.182    Pf3D7_06_v3	880001	895000    1    5.06252314528736e-07
green.183    Pf3D7_06_v3	900001	925000    0    2.9993356842075e-07
green.184    Pf3D7_06_v3	930001	940000    0    7.74805904668179e-07
green.185    Pf3D7_06_v3	950001	975000    1    4.02870018292602e-07
green.186    Pf3D7_06_v3	980001	985000    0    1.59495742765652e-06
green.187    Pf3D7_06_v3	990001	1030000    1    2.18504012499154e-07
green.188    Pf3D7_06_v3	1035001	1045000    0    8.80874928347665e-07
green.189    Pf3D7_06_v3	1050001	1060000    1    8.64875055750296e-07
green.18    Pf3D7_01_v3	570001	575000    0    1.6370217997225e-06
green.190    Pf3D7_06_v3	1065001	1070000    0    1.41484162696037e-06
green.191    Pf3D7_06_v3	1075001	1085000    5    6.19437141404972e-07
green.192    Pf3D7_06_v3	1090001	1095000    0    1.39592093093388e-06
green.193    Pf3D7_06_v3	1100001	1115000    0    5.79019873952456e-07
green.194    Pf3D7_06_v3	1120001	1195000    2    1.15100185562936e-07
green.195    Pf3D7_06_v3	1200001	1240000    13    1.53389621096633e-06
green.196    Pf3D7_06_v3	1250001	1295000    1    2.08654948706151e-07
green.197    Pf3D7_07_v3	80001	95000    0    5.37083505082361e-07
green.198    Pf3D7_07_v3	100001	120000    0    4.08894193460103e-07
green.199    Pf3D7_07_v3	125001	145000    1    3.36175216944163e-07
green.19    Pf3D7_02_v3	115001	120000    0    1.9863536991587e-06
green.1    M76611	5001	10000    0    9.55372504700582e-06
