greenS.100    Pf3D7_04_v3	700001	715000    0    5.66189620319321e-07
greenS.101    Pf3D7_04_v3	720001	780000    1    1.52999546568239e-07
greenS.102    Pf3D7_04_v3	790001	795000    0    1.50480533158982e-06
greenS.103    Pf3D7_04_v3	805001	825000    13    3.86772106464029e-07
greenS.104    Pf3D7_04_v3	830001	845000    2    5.86558099639838e-07
greenS.105    Pf3D7_04_v3	855001	875000    0    3.76435381943705e-07
greenS.106    Pf3D7_04_v3	880001	935000    4    1.45761558555021e-07
greenS.107    Pf3D7_04_v3	985001	995000    1    8.35220808463835e-07
greenS.108    Pf3D7_04_v3	1000001	1035000    1    2.4759949621524e-07
greenS.109    Pf3D7_04_v3	1060001	1075000    5    1.98512281224904e-06
greenS.10    Pf3D7_01_v3	285001	295000    1    7.65395484433664e-07
greenS.110    Pf3D7_04_v3	1080001	1095000    0    6.20166507742742e-07
greenS.111    Pf3D7_04_v3	1100001	1110000    0    7.85642402174488e-07
greenS.112    Pf3D7_04_v3	1115001	1120000    0    1.50949640425113e-06
greenS.113    Pf3D7_04_v3	1125001	1145000    0    4.52161983506559e-07
greenS.114    Pf3D7_05_v3	45001	75000    9    7.67260566837324e-07
greenS.115    Pf3D7_05_v3	80001	125000    12    2.37395827756875e-07
greenS.116    Pf3D7_05_v3	130001	135000    0    1.69185196053489e-06
greenS.117    Pf3D7_05_v3	140001	155000    1    5.23585948052936e-07
greenS.118    Pf3D7_05_v3	160001	170000    0    8.94017366413481e-07
greenS.119    Pf3D7_05_v3	190001	210000    0    3.91399848354648e-07
greenS.11    Pf3D7_01_v3	315001	345000    0    2.73569572265913e-07
greenS.120    Pf3D7_05_v3	220001	245000    0    3.43071707513599e-07
greenS.121    Pf3D7_05_v3	250001	265000    0    4.96541878435547e-07
greenS.122    Pf3D7_05_v3	270001	295000    3    1.54905193457806e-06
greenS.123    Pf3D7_05_v3	305001	320000    3    5.69958664901059e-07
greenS.124    Pf3D7_05_v3	325001	340000    0    5.5375202061355e-07
greenS.125    Pf3D7_05_v3	350001	370000    5    2.30528877663934e-06
greenS.126    Pf3D7_05_v3	375001	395000    7    1.14841419401182e-06
greenS.127    Pf3D7_05_v3	400001	405000    0    1.44618080215093e-06
greenS.128    Pf3D7_05_v3	410001	430000    0    4.66290832325707e-07
greenS.129    Pf3D7_05_v3	435001	445000    0    8.56549476025014e-07
greenS.12    Pf3D7_01_v3	355001	400000    6    1.99983883672828e-07
greenS.130    Pf3D7_05_v3	450001	455000    0    1.71391035667039e-06
greenS.131    Pf3D7_05_v3	460001	495000    1    2.42964176916831e-07
greenS.132    Pf3D7_05_v3	500001	550000    0    1.47803891654371e-07
greenS.133    Pf3D7_05_v3	555001	575000    1    4.10736056490977e-07
greenS.134    Pf3D7_05_v3	585001	595000    2    8.89832405406673e-07
greenS.135    Pf3D7_05_v3	600001	615000    1    5.64482750201825e-07
greenS.136    Pf3D7_05_v3	630001	645000    0    6.31062741750136e-07
greenS.137    Pf3D7_05_v3	650001	670000    2    4.51795913234565e-07
greenS.138    Pf3D7_05_v3	675001	680000    1    1.82332814720985e-06
greenS.139    Pf3D7_05_v3	690001	695000    0    1.54687573169185e-06
greenS.13    Pf3D7_01_v3	415001	440000    14    1.12068235837282e-06
greenS.140    Pf3D7_05_v3	700001	705000    0    1.92177140741461e-06
greenS.141    Pf3D7_05_v3	710001	730000    9    2.6712464027345e-06
greenS.142    Pf3D7_05_v3	735001	745000    3    5.13340649778394e-06
greenS.143    Pf3D7_05_v3	750001	790000    1    2.47668252227493e-07
greenS.144    Pf3D7_05_v3	800001	805000    0    2.06063495683985e-06
greenS.145    Pf3D7_05_v3	810001	845000    0    2.66010431292719e-07
greenS.146    Pf3D7_05_v3	850001	875000    16    1.06217397268494e-06
greenS.147    Pf3D7_05_v3	880001	895000    0    4.62303487246476e-07
greenS.149    Pf3D7_05_v3	1020001	1025000    0    1.62102758347492e-06
greenS.14    Pf3D7_01_v3	450001	475000    0    3.4890878824404e-07
greenS.150    Pf3D7_05_v3	1030001	1100000    5    3.3483488868522e-07
greenS.151    Pf3D7_05_v3	1120001	1125000    0    1.87919783678671e-06
greenS.152    Pf3D7_05_v3	1130001	1145000    9    1.69748721080812e-06
greenS.153    Pf3D7_05_v3	1150001	1160000    0    8.40006669773617e-07
greenS.154    Pf3D7_05_v3	1165001	1195000    3    2.79611248104107e-07
greenS.155    Pf3D7_05_v3	1200001	1205000    3    1.5276355161294e-06
greenS.156    Pf3D7_05_v3	1210001	1290000    1    1.05746372361769e-07
greenS.157    Pf3D7_05_v3	1300001	1320000    0    4.10132261421226e-07
greenS.158    Pf3D7_06_v3	75001	95000    0    4.57267970171995e-07
greenS.159    Pf3D7_06_v3	100001	105000    0    1.73009421966775e-06
greenS.15    Pf3D7_01_v3	480001	495000    12    4.30234615734246e-06
greenS.160    Pf3D7_06_v3	110001	120000    0    8.32020254152345e-07
greenS.161    Pf3D7_06_v3	130001	145000    1    6.27232246201845e-07
greenS.162    Pf3D7_06_v3	150001	160000    0    6.70421275527223e-07
greenS.163    Pf3D7_06_v3	165001	170000    0    1.78893597845805e-06
greenS.164    Pf3D7_06_v3	175001	190000    0    4.81264059462412e-07
greenS.165    Pf3D7_06_v3	195001	245000    1    1.68969627428953e-07
greenS.166    Pf3D7_06_v3	255001	295000    0    2.13465223736125e-07
greenS.167    Pf3D7_06_v3	300001	345000    0    1.67855824830036e-07
greenS.168    Pf3D7_06_v3	350001	355000    0    1.88266636306053e-06
greenS.169    Pf3D7_06_v3	360001	395000    1    2.43889184621247e-07
greenS.16    Pf3D7_01_v3	500001	545000    11    9.77421617483442e-07
greenS.170    Pf3D7_06_v3	400001	420000    2    4.76364927997278e-07
greenS.172    Pf3D7_06_v3	535001	545000    0    9.63725078228083e-07
greenS.173    Pf3D7_06_v3	550001	570000    2    3.36808387027105e-07
greenS.174    Pf3D7_06_v3	575001	595000    0    4.0750481249902e-07
greenS.175    Pf3D7_06_v3	600001	620000    0    4.17642083289632e-07
greenS.176    Pf3D7_06_v3	625001	640000    2    4.7783045989564e-07
greenS.177    Pf3D7_06_v3	655001	720000    9    4.31764238016675e-07
greenS.178    Pf3D7_06_v3	745001	785000    0    1.75040856240461e-07
greenS.179    Pf3D7_06_v3	790001	795000    0    1.34999517708645e-06
greenS.17    Pf3D7_01_v3	550001	555000    0    1.7445038599629e-06
greenS.180    Pf3D7_06_v3	800001	850000    1    1.48277468355175e-07
greenS.181    Pf3D7_06_v3	855001	875000    2    4.13263931658739e-07
greenS.182    Pf3D7_06_v3	880001	895000    0    5.69308889177689e-07
greenS.183    Pf3D7_06_v3	900001	925000    0    2.91447067153084e-07
greenS.184    Pf3D7_06_v3	930001	940000    0    7.57701629509223e-07
greenS.185    Pf3D7_06_v3	950001	975000    0    3.51424069892159e-07
greenS.186    Pf3D7_06_v3	980001	985000    0    1.46605893856153e-06
greenS.187    Pf3D7_06_v3	990001	1030000    0    2.47182137004254e-07
greenS.188    Pf3D7_06_v3	1035001	1045000    0    8.308168053146e-07
greenS.189    Pf3D7_06_v3	1050001	1060000    0    7.19364000010791e-07
greenS.18    Pf3D7_01_v3	570001	575000    0    1.65374254616645e-06
greenS.190    Pf3D7_06_v3	1065001	1070000    0    2.1368940412518e-06
greenS.191    Pf3D7_06_v3	1075001	1085000    4    7.96402583037272e-07
greenS.192    Pf3D7_06_v3	1090001	1095000    0    1.69372113680096e-06
greenS.193    Pf3D7_06_v3	1100001	1115000    0    5.28703646438283e-07
greenS.194    Pf3D7_06_v3	1120001	1195000    1    1.11589453270904e-07
greenS.195    Pf3D7_06_v3	1200001	1240000    7    1.69588251992158e-06
greenS.196    Pf3D7_06_v3	1250001	1295000    0    1.92924154097977e-07
greenS.197    Pf3D7_07_v3	80001	95000    0    6.05706931553543e-07
greenS.198    Pf3D7_07_v3	100001	120000    0    4.30903323482783e-07
greenS.199    Pf3D7_07_v3	125001	145000    0    4.51212609770048e-07
greenS.19    Pf3D7_02_v3	115001	120000    0    1.62409062905096e-06
greenS.1    M76611	5001	10000    0    9.14502677400952e-06
greenS.200    Pf3D7_07_v3	150001	175000    0    3.53685652196223e-07
greenS.201    Pf3D7_07_v3	180001	200000    0    4.31561418941122e-07
greenS.202    Pf3D7_07_v3	205001	210000    0    1.80965288002493e-06
greenS.204    Pf3D7_07_v3	360001	380000    6    4.24566958510789e-07
greenS.205    Pf3D7_07_v3	385001	390000    0    1.64706207002821e-06
greenS.206    Pf3D7_07_v3	395001	420000    1    3.53942464728215e-07
greenS.207    Pf3D7_07_v3	425001	445000    1    4.19391981370461e-07
greenS.208    Pf3D7_07_v3	450001	495000    21    1.65237139970522e-07
greenS.209    Pf3D7_07_v3	500001	505000    0    1.69960225724858e-06
greenS.20    Pf3D7_02_v3	125001	160000    1    2.11405330276833e-07
greenS.210    Pf3D7_07_v3	600001	615000    0    4.39977490651713e-07
greenS.211    Pf3D7_07_v3	625001	645000    0    4.35015839352707e-07
greenS.212    Pf3D7_07_v3	655001	665000    10    6.22819077735449e-06
greenS.213    Pf3D7_07_v3	670001	675000    0    1.6563772651131e-06
greenS.214    Pf3D7_07_v3	680001	685000    0    1.71902437922548e-06
greenS.215    Pf3D7_07_v3	690001	695000    0    1.72139663869391e-06
greenS.216    Pf3D7_07_v3	700001	715000    0    5.02513115409183e-07
greenS.217    Pf3D7_07_v3	720001	725000    0    1.76589831609078e-06
greenS.218    Pf3D7_07_v3	730001	745000    2    6.34271228167719e-07
greenS.219    Pf3D7_07_v3	750001	840000    8    4.39876239081684e-07
greenS.21    Pf3D7_02_v3	165001	195000    2    2.90112360867052e-07
greenS.220    Pf3D7_07_v3	845001	860000    0    5.58857285355859e-07
greenS.221    Pf3D7_07_v3	865001	915000    3    1.8516221358208e-07
greenS.222    Pf3D7_07_v3	920001	925000    0    1.68879552801803e-06
greenS.223    Pf3D7_07_v3	930001	945000    0    5.2526012824762e-07
greenS.224    Pf3D7_07_v3	950001	955000    0    1.45910026848163e-06
greenS.225    Pf3D7_07_v3	960001	995000    0    2.13475666219982e-07
greenS.226    Pf3D7_07_v3	1000001	1045000    0    1.77797671438166e-07
greenS.227    Pf3D7_07_v3	1050001	1055000    0    1.67044297486008e-06
greenS.228    Pf3D7_07_v3	1060001	1080000    2    3.46747932626251e-07
greenS.229    Pf3D7_07_v3	1100001	1140000    0    2.10370010354192e-07
greenS.22    Pf3D7_02_v3	200001	225000    0    3.08373471211529e-07
greenS.230    Pf3D7_07_v3	1155001	1160000    0    1.50719219852012e-06
greenS.231    Pf3D7_07_v3	1165001	1190000    1    2.97078731673467e-07
greenS.232    Pf3D7_07_v3	1195001	1280000    18    2.85034268872973e-07
