T	C
450	1796231
451	1781209
452	1772998
453	1769536
454	1769725
455	1772465
456	1776660
457	1781211
458	1785020
459	1797637
460	1824136
461	1856701
462	1887519
463	1908776
464	1912658
465	1905609
466	1897824
467	1887115
468	1871292
469	1848168
470	1815555
471	1766356
472	1699641
473	1622466
474	1541888
475	1464963
476	1398748
477	1333682
478	1258618
479	1178230
480	1097193
481	1020180
482	951867
483	896929
484	854319
485	818808
486	788790
487	762661
488	738818
489	715656
490	696927
491	685713
492	679408
493	675403
494	671091
495	663865
496	655772
497	650122
498	646198
499	643283
500	640661
501	637615
502	634463
503	632014
504	630286
505	629299
506	629072
507	629623
508	630973
509	633003
510	635648
511	639002
512	643159
513	648214
514	654263
515	661377
516	669498
517	678524
518	688352
519	698878
520	710000
521	722695
522	737467
523	753506
524	770001
525	786141
526	801114
527	817426
528	837035
529	858313
530	879633
531	899365
532	915883
533	927558
534	937397
535	948343
536	958670
537	966652
538	970565
539	968682
540	960336
541	946898
542	929708
543	910105
544	889426
545	869010
546	844352
547	812275
548	776114
549	739205
550	704883
551	676483
552	650882
553	623521
554	595580
555	568239
556	542676
557	520073
558	501610
559	487698
560	477291
561	469380
562	462955
563	457007
564	450527
565	445314
566	443074
567	442657
568	442915
569	442696
570	440852
571	438479
572	437121
573	436297
574	435526
575	434328
576	432221
577	429496
578	426733
579	423883
580	420897
581	417726
582	414322
583	410636
584	406597
585	402228
586	397619
587	392862
588	388046
589	383263
590	378352
591	373162
592	367793
593	362347
594	356924
595	351625
596	346339
597	340921
598	335428
599	329917
600	324443
601	319064
602	313738
603	308396
604	303048
605	297704
606	292375
607	287070
608	281801
609	276556
610	271322
611	266101
612	260896
613	255710
614	250545
615	245388
616	240229
617	235081
618	229953
619	224858
620	219806
621	214770
622	209727
623	204697
624	199699
625	194754
626	189881
627	185049
628	180224
629	175424
630	170666
631	165965
632	161339
633	156805
634	152332
635	147889
636	143495
637	139166
638	134921
639	130775
640	126710
641	122700
642	118756
643	114888
644	111106
645	107420
646	103822
647	100300
648	96855
649	93491
650	90211
651	87017
652	83912
653	80894
654	77962
655	75111
656	72339
657	69642
658	67017
659	64476
660	62029
661	59666
662	57378
663	55154
664	52987
665	50895
666	48893
667	46969
668	45112
669	43311
670	41552
671	39856
672	38244
673	36701
674	35216
675	33777
676	32369
677	31012
678	29725
679	28500
680	27328
681	26198
682	25102
683	24030
684	23000
685	22031
686	21110
687	20228
688	19373
689	18535
690	17730
691	16973
692	16257
693	15571
694	14907
695	14256
696	13629
697	13043
698	12489
699	11959
700	11446
701	10941
702	10456
703	10001
704	9572
705	9164
706	8773
707	8393
708	8021
709	7663
710	7330
711	7016
712	6717
713	6426
714	6141
715	5867
716	5611
717	5371
718	5141
719	4919
720	4700
721	4490
722	4294
723	4110
724	3935
725	3765
726	3597
727	3436
728	3286
729	3145
730	3010
731	2882
732	2757
733	2634
734	2517
735	2408
736	2305
737	2207
738	2112
739	2019
740	1929
741	1845
742	1767
743	1692
744	1619
745	1548
746	1479
747	1415
748	1355
749	1298
750	1243
751	1188
752	1136
753	1086
754	1040
755	997
756	955
757	914
758	874
759	836
760	800
761	766
762	734
763	703
764	673
765	643
766	616
767	590
768	566
769	542
770	519
771	496
772	475
773	455
774	437
775	419
776	401
777	383
778	367
779	352
780	338
781	324
782	311
783	297
784	284
785	272
786	261
787	250
788	239
789	229
790	219
791	210
792	201
793	193
794	185
795	178
796	171
797	165
798	159
799	154
800	149
801	145
802	NA
