Th061.13	Th068.12	Th074.13	Th086.07	Th092.13	Th095.13	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th166.12	Th196.12	Th211.13	Th230.12	Th245.13	Th246.13
Th061.13	0	211	5102	8037	8159	161	8270	6276	8264	7146	5851	8221	7806	8244	4817	8258	2407	4508
Th068.12	211	0	5104	8043	8173	191	8288	6284	8277	7169	5850	8234	7833	8268	4817	8265	2409	4510
Th074.13	5102	5104	0	322	5299	5109	134	228	220	134	206	137	5291	119	5024	128	2461	4731
Th086.07	8037	8043	322	0	8135	6263	586	280	377	469	252	541	7815	573	4855	579	2374	4560
Th092.13	8159	8173	5299	8135	0	6402	8388	6448	8365	7268	6040	8329	194	8350	118	8357	69	117
Th095.13	161	191	5109	6263	6402	0	6494	6287	6454	6464	5869	6426	6402	6451	4823	6468	2412	4524
Th106.09	8270	8288	134	586	8388	6494	0	320	444	194	312	236	8058	209	5029	217	2466	4723
Th106.11	6276	6284	228	280	6448	6287	320	0	148	326	151	343	6449	322	5012	321	2462	4705
Th117.11	8264	8277	220	377	8365	6454	444	148	0	346	143	453	8048	420	4999	435	2454	4709
Th132.11	7146	7169	134	469	7268	6464	194	326	346	0	300	202	7275	190	5017	175	2465	4724
Th134.11	5851	5850	206	252	6040	5869	312	151	143	300	0	325	6048	292	5003	309	2460	4702
Th162.12	8221	8234	137	541	8329	6426	236	343	453	202	325	0	8001	222	4980	234	2444	4681
Th166.12	7806	7833	5291	7815	194	6402	8058	6449	8048	7275	6048	8001	0	8024	113	8029	67	120
Th196.12	8244	8268	119	573	8350	6451	209	322	420	190	292	222	8024	0	5002	193	2451	4701
Th211.13	4817	4817	5024	4855	118	4823	5029	5012	4999	5017	5003	4980	113	5002	0	5008	69	116
Th230.12	8258	8265	128	579	8357	6468	217	321	435	175	309	234	8029	193	5008	0	2456	4712
Th245.13	2407	2409	2461	2374	69	2412	2466	2462	2454	2465	2460	2444	67	2451	69	2456	0	63
Th246.13	4508	4510	4731	4560	117	4524	4723	4705	4709	4724	4702	4681	120	4701	116	4712	63	0
