name	haplotype number	year	culture_adapted	DISCO	ADCL_35	ADCL_40	ADCL_45	ADCL_35_lab	ADCL_40_lab	ADCL_45_lab	SET_35_v1	SET_40_v1	SET_45_v1
Th025.10	29	2010	0	0	0	0	0				000	000	000
Th025.11	452	2011	0	0	0	0	0				000	000	000
Th025.12	29	2012	0	0	0	0	0				000	000	000
Th026.07	198	2007	0	0	0	0	0				000	000	000
Th026.10	63	2010	0	0	0	0	0				000	000	000
Th026.11	29	2011	0	0	0	0	0				000	000	000
Th026.12	492	2012	0	0	0	0	0				000	000	000
Th026.13	581	2013	0	0	0	0	0				000	000	000
Th027.10	64	2010	0	0	0	0	0				000	000	000
Th027.11	10	2011	0	0	0	0	0				000	000	000
Th027.13	582	2013	0	0	0	0	0				000	000	000
Th028.06	113	2006	0	0	0	0	0				000	000	000
Th028.09	5	2009	0	0	0	0	0				000	000	000
Th028.10	410	2010	0	0	0	0	0				000	000	000
Th028.11	10	2011	0	0	0	0	0				000	000	000
Th028.12	493	2012	0	0	0	0	0				000	000	000
Th029.06	114	2006	0	0	0	0	0				000	000	000
Th029.07	199	2007	0	0	0	0	0				000	000	000
Th029.09	55	2009	1	0	1	1	1	Th029.09	Th029.09	Th029.09	101	101	101
Th029.12	494	2012	0	0	0	0	0				000	000	000
Th029.13	583	2013	0	0	0	0	0				000	000	000
Th030.07	200	2007	0	0	0	0	0				000	000	000
Th030.11	453	2011	0	0	0	0	0				000	000	000
Th030.13	25	2013	0	0	0	0	0				000	000	000
Th031.06	115	2006	0	0	0	0	0				000	000	000
Th031.07	201	2007	0	0	0	0	0				000	000	000
Th031.10	411	2010	0	0	0	0	0				000	000	000
Th031.11	29	2011	0	0	0	0	0				000	000	000
Th031.13	584	2013	0	0	0	0	0				000	000	000
Th032.07	202	2007	0	0	0	0	0				000	000	000
Th032.09	6	2009	1	0	1	0	0	Th032.09			101	100	100
Th032.11	17	2011	0	0	0	0	0				000	000	000
Th032.12	74	2012	0	0	0	0	0				000	000	000
Th033.08	291	2008	0	0	0	0	0				000	000	000
Th033.09	356	2009	1	0	1	1	1	Th033.09	Th033.09	Th033.09	101	101	101
Th033.11	454	2011	0	0	0	0	0				000	000	000
Th034.08	292	2008	0	0	0	0	0				000	000	000
Th034.09	5	2009	0	0	0	0	0				000	000	000
Th035.07	203	2007	0	0	0	0	0				000	000	000
Th035.08	293	2008	0	0	0	0	0				000	000	000
Th035.12	29	2012	0	0	0	0	0				000	000	000
Th035.13	585	2013	0	0	0	0	0				000	000	000
Th036.06	116	2006	0	0	0	0	0				000	000	000
Th036.07	204	2007	0	0	0	0	0				000	000	000
Th036.08	4	2008	0	0	0	0	0				000	000	000
Th036.10	64	2010	0	0	0	0	0				000	000	000
Th036.13	21	2013	0	0	0	0	0				000	000	000
Th037.06	117	2006	0	0	0	0	0				000	000	000
Th037.07	205	2007	0	0	0	0	0				000	000	000
